@relation untitled
@attribute string
@attribute CritPres2D real
@attribute BRKS_FVYRS_SCR real
@attribute WL real
@attribute PAN real
@attribute WTR real
@attribute Performance_Level string
@attribute Hosp_Serv real
@attribute INFRA_STAT string
@attribute HANSEN_COM real
@attribute Condition_Score_Level string
@attribute BRKS_FVYRS_Level string
@attribute MI_SCR real
@attribute STANDARD_CONFOR real
@attribute RiskThresh string
@attribute FID real
@attribute TRANS real
@attribute BRKS_FVYRS real
@attribute Criticality_Level string
@attribute DIAMETER real
@attribute FLP real
@attribute Hospital real
@attribute Source string
@attribute HL real
@attribute ST_CLASS string
@attribute HDL real
@attribute Criticality_SCR real
@attribute HEAD_LOSS_SCR real
@attribute Maintenance_Cost real
@attribute School real
@attribute MITIGATION_Level string
@attribute Age real
@attribute Shape_* string
@attribute MI real
@attribute RWY real
@attribute Crit_Rests string
@attribute CritConsSc string
@attribute Condition_Score real
@attribute FRM_NODE real
@attribute Med_Centre real
@attribute RSL_SCR real
@attribute WPZ real
@attribute INST_YR real
@attribute New_Seg string
@attribute Mat_Fact real
@attribute HWY real
@attribute ENVMT_SCR real
@attribute TotBrks real
@attribute HEU real
@attribute MATERIAL string
@attribute OBJECTID real
@attribute _Normalized_Quality_-_test_result_Score real
@attribute Operation_Cost real
@attribute TotBrks_Lenght real
@attribute R real
@attribute QUALIT_SCR real
@attribute Shape_Leng real
@attribute Performanc_SCR real
@attribute Active_Ope string
@attribute DIA_SCR real
@attribute f real
@attribute SOIL string
@attribute INSTALL_DA string
@attribute MATERIAL_CD string
@attribute ST_DIR string
@attribute ACCESS_SCR real
@attribute LT_CARE real
@attribute Airp_Serv real
@attribute Tran_main string
@attribute BRK_Level string
@attribute REPLC_COST real
@attribute TM string
@attribute BRKS_FV_YRS_L real
@attribute TO_NODE real
@attribute LEN_M real
@attribute BRK_SCR real
@attribute MI_Level string
@attribute HPU real
@attribute ESA real
@attribute RSL_Level string
@attribute ST_NAME string
@attribute RSL real
@attribute CITY string
@attribute ST_TYPE string
@attribute OPSC string
@attribute DRAINAGE string
@data
'',10.1,0.0,0.0,750.0,0.0,'Moderately_High',0.0,'A',674741.0,'Medium','Low',15.0,15.0,'Moderate',1699.0,0.0,31.0,'Moderately_High',600.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.020542606,'COLLECTOR',0.0,210.0,15.0,363.8144575,0.0,'REPLACE_IN_FUTURE',57.0,'Polyline',0.290232087,0.0,'Fail_(Pressure)','5_(Catastrophic)',240.0,6525846.0,0.0,10.0,2.0,1960.0,'',1.0,0.0,15.0,118.0,0.0,'CPP',2546.0,0.0,254.6701203,16.21705756,2.28e-14,0.0,727.628915,300.0,'YES',5.0,0.029461491,'CL','1/1/1960','CPP','',15.0,0.0,0.0,'NO','Medium',2131.0,'No',4.260413428,605628.0,727.628915,5.0,'High',0.0,1.0,'High','BLOOR',18.0,'MISSISSAUGA','ST','5_(Catastrophic)','I'
'',0.0,0.0,0.0,520.0,0.0,'Moderately_Low',0.0,'A',518557.0,'Moderately_Low','Low',15.0,15.0,'Moderate',187.0,0.0,75.0,'Moderately_High',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.373140997,'LOCAL',0.0,210.0,0.0,768.194194,1.0,'RELINE_-_REHAB',34.0,'Polyline',0.828635869,0.0,'Fail_(Flow)','5_(Catastrophic)_-_Flow_Failure',160.0,603509.0,0.0,5.0,4.0,1983.0,'',1.0,0.0,15.0,77.0,0.0,'CPP',787.0,0.0,537.7359358,5.011753578,4.15e-13,0.0,1536.388388,150.0,'YES',5.0,0.03337527,'CL','1/1/1983','CPP','',15.0,0.0,0.0,'NO','Low',1576.0,'No',4.88157816,603508.0,1536.388388,0.0,'High',0.0,1.0,'Medium','RIDGEWAY',41.0,'MISSISSAUGA','DR','5_(Catastrophic)_-_Flow_Failure','I'
'',37.2,0.0,0.0,520.0,0.0,'Moderately_Low',0.0,'A',523499.0,'Moderately_Low','Low',15.0,15.0,'Moderate',200.0,0.0,14.0,'Moderately_High',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.382887581,'ARTERIAL',0.0,210.0,0.0,788.259717,1.0,'RELINE_-_REHAB',36.0,'Polyline',0.850280152,0.0,'Fail_(Pressure)','2_(Low)',160.0,606905.0,0.0,5.0,3.0,1981.0,'',1.0,0.0,15.0,148.0,0.0,'CPP',952.0,0.0,551.7818019,9.387768828,4.25e-13,0.0,1576.519434,150.0,'YES',5.0,0.03337527,'CL','1/1/1981','CPP','W',15.0,0.0,0.0,'NO','Low',1576.0,'No',0.888032186,607177.0,1576.519434,0.0,'High',0.0,1.0,'Medium','BURNHAMTHORPE',39.0,'MISSISSAUGA','RD','2_(Low)','P'
'',0.0,5.0,0.0,650.0,0.0,'Moderately_Low',0.0,'A',524427.0,'Moderately_High','Medium',15.0,0.0,'Extreme',2868.0,0.0,58.0,'Moderately_High',1800.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',3.75632e-05,'ARTERIAL',0.0,180.0,15.0,218.959549,0.0,'REPLACE_IN_FUTURE',56.0,'Polyline',0.145119389,0.0,'Fail_(Flow)','5_(Catastrophic)_-_Flow_Failure',320.0,607793.0,0.0,15.0,4.0,1961.0,'',0.5,0.0,15.0,72.0,0.0,'TMDI',3760.0,0.0,153.2716843,16.44139302,4.17e-17,0.0,437.919098,150.0,'YES',15.0,0.021751236,'CL','1/1/1954','DI','',0.0,0.0,0.0,'NO','Medium',2565.0,'Yes',13.24445549,607804.0,437.919098,5.0,'High',0.0,0.0,'Very_High','TOMKEN',9.5,'MISSISSAUGA','RD','5_(Catastrophic)_-_Flow_Failure','I'
'',38.8,0.0,0.0,270.0,0.0,'Very_Low',0.0,'A',687774.0,'Medium','Low',15.0,0.0,'High',2060.0,0.0,28.0,'Very_Low',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.08042985,'ARTERIAL',0.0,30.0,0.0,165.5828335,0.0,'MONITOR',38.0,'Polyline',0.178610925,0.0,'Fail_(Pressure)','2_(Low)',240.0,597908.0,0.0,10.0,5.0,1979.0,'',0.5,0.0,0.0,51.0,0.0,'DI',195.0,0.0,115.9079835,15.40014714,8.94e-14,0.0,331.165667,0.0,'YES',5.0,0.03337527,'C','1/2/1979','DI','',0.0,0.0,0.0,'NO','Medium',1576.0,'No',8.454982744,6528804.0,331.165667,5.0,'High',0.0,0.0,'High','AIRPORT',18.5,'BRAMPTON','RD','2_(Low)','I'
'',0.0,0.0,0.0,190.0,0.0,'Very_Low',0.0,'A',787399.0,'Moderately_Low','Low',15.0,0.0,'High',3121.0,0.0,50.0,'Very_Low',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.244237409,'ARTERIAL',0.0,30.0,0.0,502.81733,0.0,'DO_NOTHING',33.0,'Polyline',0.5423791,1.0,'Fail_(Flow)','5_(Catastrophic)_-_Flow_Failure',160.0,599431.0,0.0,5.0,5.0,1984.0,'',1.0,0.0,0.0,52.0,0.0,'CPP',1729.0,0.0,351.972131,5.17086394,2.71e-13,0.0,1005.63466,0.0,'YES',5.0,0.03337527,'CL','1/1/1984','CPP','N',0.0,0.0,0.0,'NO','Low',1576.0,'No',4.971984557,6568264.0,1005.63466,0.0,'High',0.0,0.0,'Medium','MCLAUGHLIN',42.0,'BRAMPTON','RD','5_(Catastrophic)_-_Flow_Failure','I'
'',0.0,5.0,0.0,420.0,0.0,'Moderately_Low',0.0,'A',506590.0,'Medium','Medium',15.0,0.0,'High',3408.0,0.0,77.0,'Very_Low',600.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.01075093,'ARTERIAL',0.0,30.0,15.0,190.401532,0.0,'RELINE_-_REHAB',36.0,'Polyline',0.151892353,0.0,'Fail_(Flow)','5_(Catastrophic)_-_Flow_Failure',240.0,601536.0,0.0,5.0,6.0,1981.0,'',1.0,0.0,0.0,79.0,0.0,'CPP',2108.0,0.0,133.2810724,20.7456314,1.19e-14,0.0,380.803064,150.0,'YES',5.0,0.029461491,'CL','1/1/1981','CPP','',0.0,0.0,0.0,'NO','Medium',2131.0,'No',20.22042554,601537.0,380.803064,5.0,'High',0.0,0.0,'Medium','HURONTARIO',39.0,'BRAMPTON','ST','5_(Catastrophic)_-_Flow_Failure','I'
'',20.5,0.0,0.0,730.0,1.0,'Moderately_High',0.0,'A',513806.0,'Moderately_Low','Low',15.0,15.0,'Moderate',823.0,0.0,9.0,'Very_High',900.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.002778683,'COLLECTOR',0.0,270.0,15.0,420.251054,0.0,'REPLACE_IN_FUTURE',34.0,'Polyline',0.337630809,0.0,'Fail_(Pressure)','4_(Severe)',160.0,594584.0,0.0,5.0,3.0,1983.0,'',1.0,0.0,15.0,78.0,0.0,'TMCPP',3043.0,0.0,294.1757378,9.280167088,3.09e-15,0.0,840.502108,300.0,'YES',15.0,0.026197846,'CL','1/1/1983','CPP','',15.0,0.0,0.0,'YES','Low',2116.0,'Yes',1.07078851,594636.0,840.502108,0.0,'High',0.0,1.0,'Medium','ERIN_MILLS',41.0,'MISSISSAUGA','PKWY','4_(Severe)','I'
'',37.8,0.0,0.0,520.0,1.0,'Moderately_Low',0.0,'A',703567.0,'Moderately_Low','Low',15.0,15.0,'Moderate',1229.0,0.0,43.0,'Moderately_High',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.19946122,'ARTERIAL',0.0,210.0,0.0,410.635531,1.0,'RELINE_-_REHAB',41.0,'Polyline',0.442944418,0.0,'Fail_(Pressure)','2_(Low)',160.0,6542786.0,0.0,5.0,2.0,1976.0,'',1.0,0.0,15.0,62.0,0.0,'CPP',1391.0,0.0,287.4448717,7.549273665,2.22e-13,0.0,821.271062,150.0,'YES',5.0,0.03337527,'CL','1/1/1976','CPP','W',15.0,0.0,0.0,'NO','Low',1576.0,'No',5.235786574,604987.0,821.271062,0.0,'High',0.0,1.0,'Medium','QUEENSWAY',34.0,'MISSISSAUGA','','2_(Low)','P'
'',37.5,5.0,0.0,510.0,0.0,'Moderately_Low',0.0,'A',509117.0,'Medium','Medium',5.0,15.0,'Moderate',3851.0,0.0,2.0,'Medium',400.0,1.0,0.0,'ISDISTRIBUTION_MAIN_-_SMALL_DIAMETE',0.002034944,'LOCAL',0.0,120.0,0.0,4.1893875,0.0,'RELINE_-_REHAB',27.0,'Polyline',0.004519009,0.0,'Fail_(Pressure)','2_(Low)',240.0,597783.0,0.0,15.0,5.0,1990.0,'',0.1,0.0,15.0,2.0,0.0,'PVC',3660.0,0.0,2.93257125,23.86983777,2.26e-15,0.0,8.378775,150.0,'YES',5.0,0.03337527,'CL','1/5/1971','PVC','S',0.0,0.0,0.0,'NO','Medium',1576.0,'No',23.86983777,597221.0,8.378775,5.0,'Low',0.0,0.0,'Very_High','MAIN',4.8,'BRAMPTON','ST','2_(Low)','I'
