Project No.,IPFS Component ID#,Assignment,Street Name,From,To,Ward No.,Map Ref. No.,Existing Pipe Material,Replaced Diameter (mm),Pipe Length (m),Road History,Road Program,Creek/ Railway Crossing,Water Comments,Waste Water Comments,Looping,Sampling Station,Total Budget (for Water works)
161310,38626,A,Cochise Crescent,Comanche Road,Comanche Road,M02,Z08,CI,150,180.3,2003,,,"Replace existing 335.0 meter length, 150mm diameter cast iron (CI) metallic watermain pipe in order to improve water quality and system reliability.",No sanitary sewer replacement needs.,,,"$429,544"
,,,,,,,,,150,154.6,,,,,,,,
161310,38627,A,Knareswood Drive,Cochise Crescent,Kedleston Way,M02,Z08,CI,150,193.3,2003,,,"Replace existing 269.1 meter length, 150mm diameter metallic watermain pipe in order to improve water quality and system reliability.",No sanitary sewer replacement needs.,,,"$344,917"
,,,,,,,,DI,150,32.7,,,,,,,,
,,,,,,,,CI,150,43.0,,,,,,,,
161310,38628,A,Delco Avenue,Ogden Avenue,Meredith Avenue,M01,Z06,CI,150,28.04,1995,,,"Replace existing 163.0 meter length, 150mm diameter cast iron (CI) metallic watermain pipe in order to improve water quality and system reliability.",Sanitary sewer scheduled for replacement in 2016 along with watermain replacement work.,,,"$209,002"
,,,,,,,,,,60.35,,,,,,,,
,,,,,,,,,,57.62,,,,,,,,
,,,,,,,,,,16.93,,,,,,,,
161310,"Added on December 02, 2015; Not entered in IPFS",A,Caven Street,Lakeshore Road East ,End,M01,Z07,DI,300,50.00,1999,,,Replace the 300mm metallic watermain and upsize 150mm watermain from Third Street to North End to 300mm as it provides service connection to apartment building and  in order to improve water quality and system reliability. ,Trenchless repair will be done in 2016 and it won't impact road resurfacing.,,,"$560,867"
,,,,,,,,,300,9.58,,,,,,,,
,,,,,,,,,300,267.62,,,,,,,,
,,,,,,,,,,,,,,,,,Total Budget,"$1,544,330"
161310,38634,B,Birchwood Drive,Clarkson Road,Ravine Drive,M02,Z10,CI,200,93.9,1998,,Creek Crossing,"Replace existing 307.5 meter length, 200mm diameter cast iron (CI) metallic watermain pipe in order to improve water quality and system reliability. Creek crossing is anticipated.",No sanitary sewer replacement needs.,,,"$491,118"
,,,,,,,,,200,213.6,,,,,,,,
161310,38636,B,Bramsey Drive,Merrow Road,Camelford Road,M02,Z10,CI,150,96.3,2000,,,"Replace existing 571.0 meter length, 150mm diameter cast iron (CI) metallic watermain pipe in order to improve water quality and system reliability.",No sanitary sewer replacement needs.,,,"$732,148"
,,,,,,,,,150,105.4,,,,,,,,
,,,,,,,,,150,369.3,,,,,,,,
161310,38637,B,Camelford Road,Wembury Road,Bramsey Drive,M02,Z10,CI,150,101.7,2000,,,"Replace existing 477.5 meter length, 150mm diameter cast iron (CI) metallic watermain pipe in order to improve water quality and system reliability.",No sanitary sewer replacement needs.,,,"$612,901"
,,,,,,,,,150,169.0,,,,,,,,
,,,,,,,,,150,96.0,,,,,,,,
,,,,,,,,,150,110.7,,,,,,,,
161310,38638,B,Dupree Place,Barsuda Drive,End,M02,Z10,CI,150,52.4,1994,,,"Upsize existing 52.4 meter length, 100mm to 150mm diameter cast iron (CI) metallic watermain pipe with blow-off at the end of the pipe in order to improve water quality and system reliability. ",No sanitary sewer replacement needs.,,,"$99,220"
161310,38640,B,Greenoaks Drive,Birchwood Drive,Spring Road West,M02,Z10,CI,200,9.6,1998,,,Replace existing 713.2 meter length 150mm diameter; and 145.3m length 200mm diameter cast iron (CI) metallic watermain pipe in order to improve water quality and system reliability.,No sanitary sewer replacement needs.,,,"$1,182,426"
,,,,,,,,,200,135.7,,,,,,,,
,,,,,,,,,150,70.8,,,,,,,,
,,,,,,,,,150,48.4,,,,,,,,
,,,,,,,,,150,116.8,,,,,,,,
,,,,,,,,,150,477.3,,,,,,,,
161310,38639,B,Rogerswood Court,Greenoaks Drive,End,M02,Z10,CI,150,134.2,<1999,,,"Replace existing 134.2 meter length, 150mm diameter cast iron (CI) metallic watermain pipe with blow-off at the end of the pipe in order to improve water quality and system reliability. ",No sanitary sewer replacement needs.,,,"$171,817"
,,,,,,,,,,,,,,,,,Total Budget,"$3,289,630"
161310,38641,C,Altadena Court,Hollington Crescent,End,M02,Z18,Copper,50,59.6,1998,,,"Replace existing 182.9 meter length, 150mm diameter cast iron (CI)/AC watermain; and also replace and loop the watermain with new 50mm diameter copper pipe approx. 89.6m length in order to improve water quality and system reliability. ",No sanitary sewer replacement needs.,Yes (new proposed looping),,"$399,346"
,,,,,,,,CI,150,165.8,,,,,,,,
,,,,,,,,AC,150,17.1,,,,,,,,
,,,,,,,,New Copper,50,30.0,,,,,,,,
161310,38642,C,Speakman Drive,Sheridan Park Drive,Flavelle Blvd,M02,Z18,CI,300,359.4,2000,,,"Replace existing 1319.1 meter length, 300mm diameter cast iron (CI) metallic watermain pipe in order to improve water quality and system reliability. This section of watermain located in water Pressure zone 3. ",The existing sanitary sewer from SMH1788282 - SMH1788281 is scheduled for decommission in 2015; Trenchless repair will be also done in 2015.,,,"$2,260,898"
,,,,,,,,,300,699.7,,,,,,,,
,,,,,,,,,300,260.0,,,,,,,,
161310,38669,C,Fowler Court,Fifth Line West,End,M02,Z18,CI,200,126.0,,2017,,"Replace existing 126.0 meter length, 200mm diameter cast iron (CI) metallic watermain pipe in order to improve water quality and system reliability.
 
Work to be completed in advance of city's road resurfacing program on Fowler Ct in 2017.",No sanitary sewer replacement needs.,,,"$200,912"
,,,,,,,,,,,,,,,,,Total Budget,"$2,861,156"
161310,38643,D,Cleary Court,Thorn Lodge Drive,End,M02,Z18,CI,150,87.1,2005,,,"Replace existing 87.1 meter length, 150mm diameter cast iron (CI) metallic watermain pipe with blow-off at the end of the pipe in order to improve water quality and system reliability. ",No sanitary sewer replacement needs.,,,"$111,553"
