OBJECTID_1 *,Shape,GRPCODE,OID_,GRPCODE_1,OBJECTID,GDO_GID,HANSEN_COM,WM_WATERMA,INFRA_STAT,WM_WATERM1,WMODEL_ID,WMODEL_ID_,WMODEL_ID1,WM_WATERM2,MATERIAL,FRM_NODE,TO_NODE,WPZ_ID,CAM_CATEGO,CAM_CATEG1,COMPKEY,INSTALL_DA,SERVSTAT,M_TYPE,DIAMETER,WPZ,INST_YR,ST_CLASS,YR2012,YR2031,Source,GISID,GRPCODE_12,GHD_Edit,Shape_Leng,YR_INSTALL,TRANS,PCSDesc,DCSDesc,PCScore,DCScore,SOIL,DRAINAGE,WTR,ESA,WL,FLP,HWY,RWY,HPU,HEU,Hospital,Med_Centre,LT_CARE,School,HDL,LT01,LT02,LT03,LT04,LT05,LT06,LT07,LT08,LT09,LT10,LT11,LT12,LT13,LT14,LT15,LT16,VT01,VT02,VT03,VT04,VT05,VT06,VT07,VT08,VT09,VT10,VT11,VT12,VT13,VT14,VT15,VT16,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,SEVERITY,DURATION,RES01,RES02,RES03,RES04,RES05,RES06,RES07,RES08,RES09,RES10,RES11,RES12,RES13,RES14,RES15,RES16,RS01,RS02,RS03,RS04,RS05,RS06,RS07,RS08,RS09,RS10,RS11,RS12,RS13,RS14,RS15,RS16,MAXRISK,DNMMLD,Model_ID,GISIDForm,LEN_M,TOTCNSQS,TOTRISK,ST_NAME,ST_TYPE,ST_DIR,CITY,INSTDATE,Shape_Le_1,TM,DNM,TOT_LV,TOT_RES,A2031,Hosp_Serv,Airp_Serv,New_Seg,Active_Ope,Pres_Zone,Tran_main,Remove_Seg,Crit_Rests,CritPres2D,CritConsSc,Crit_Res_1,CritPres7D,CCS2D,AdjNodes,ANBPCS,RFOCS,OPSC,MAFIP,PCU,NPA,DCS,Seg_ID,OPSC_NUM,OPSC_TEXT,DSC_NUM,DSC_TEXT,Demand_Met,Duration_1,Row_Labels,MaxTOTRISK,Grp_C_Risk,Age,Group_Mat,RiskThresh,Adj_Length,Dia_x_len,Dia_x_lenO,SOGR_HANSN,Ex_Hi_2031,Priority,SCORE,C06_Cost,C07_Cost,C08_Cost,SumCost,InsigSum,LowSum,MedSum,HighSum,ExtSum,InsigSum1A,LowSum1A,Shape_Length
2,Polyline,V52,727,V52,2,7788,515614,R,A,6,00WM-A09-0001, ,  WN-A09-0001,  PWL,DI,593033,6525624, N4, NS,TRSUB-TRANSMISSION MAIN,5156,28-07-1986 0:00,01A,CPP,600,4,1978,ARTERIAL,Y,Y,TRSUB-TRANSMISSION MAIN,2,V52,Singular,274.115137,1978,0,(Low),(Negligible),2,1,CL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,4,4,5,5,3,4,5,5,4,3,4,5,0.75,0.1,0.75,0.5,1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,1,0.25,0.25,0.25,4,2,1,5,3,1,2,5,1,1,0,95.234001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,5,93.75,62.5,100,50,62.5,12.5,7.5,10,12.5,12.5,100,18.75,25,31.25,100,360.5,32729,2,274.115137,25,622.5,WINSTON CHURCHILL,BLVD, ,MISSISSAUGA,28-07-1986 0:00,274.115137,No,7.6535,24.9,0,Yes,0,0, ,YES,Zone 4,NO,NO,Fail (Pressure),39.6,2 (Low),Not run,Not run,Not run,NO,n/a,n/a,2 (Low),6.1756,360,1.001389,1 (Negligible),V52,2,(Low),1,(Negligible),0,0,V52,622.5,V52 622.5,36,CPP,Moderate, , , , , ,0,622.5,2500,275000,750000,1027500,0,0,1027500,0,0,332500,0,274.115137
101,Polyline,I05,1421,I05,101,5954,513566,R,A,4,00WM-B11-0087, ,  WN-B11-0060,  PWL,DI,595049,595056, N3, NS,TRSUB-TRANSMISSION MAIN,5135,01-01-1987 0:00,01A,PVC,300,3,2013,LOCAL,Y,Y,TRSUB-TRANSMISSION MAIN,101,I05,Consolidated,116.360658,1987,0,(Low),(Negligible),2,1,CL,W,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,5,4,4,5,5,3,4,5,5,4,3,4,5,0.1,0.1,0.75,0.5,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,1,0.75,0.1,0.5,3,2,1,3,1,3,2,1,1,2,0,669.570007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,3.8,71.25,47.5,7.6,38,47.5,9.5,5.7,7.6,9.5,9.5,76,42.75,7.6,47.5,76,2534.600098,7392,101,116.360658,19,433.2000122,OLD PINE,ST, ,MISSISSAUGA,01-01-1987 0:00,109.837588,No,2.6074,22.799999,0,Yes,0,0, ,YES,Zone 3,NO,NO,Fail (Pressure),39.1,2 (Low),Not run,Not run,Not run,NO,n/a,n/a,2 (Low),0.8531,360,7.040556,1 (Negligible),I05,2,(Low),1,(Negligible),0,0,I05,433.200012,I05 433.200012206999,27,PVC,Low, , , , , ,0,433.2000122,175000,275000,5000,455000,0,455000,0,0,0,282500,0,109.837588
102,Polyline,I05,1421,I05,101,5954,513566,R,A,4,00WM-B11-0087, ,  WN-B11-0060,  PWL,DI,595049,595056, N3, NS,TRSUB-TRANSMISSION MAIN,5135,01-01-1987 0:00,01A,PVC,300,3,2013,LOCAL,Y,Y,TRSUB-TRANSMISSION MAIN,101,I05,Consolidated,116.360658,1987,0,(Low),(Negligible),2,1,CL,W,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,5,4,4,5,5,3,4,5,5,4,3,4,5,0.1,0.1,0.75,0.5,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,1,0.75,0.1,0.5,3,2,1,3,1,3,2,1,1,2,0,669.570007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,3.8,71.25,47.5,7.6,38,47.5,9.5,5.7,7.6,9.5,9.5,76,42.75,7.6,47.5,76,2534.600098,7392,101,116.360658,19,433.2000122,OLD PINE,ST, ,MISSISSAUGA,01-01-1987 0:00,109.837588,No,2.6074,22.799999,0,Yes,0,0, ,YES,Zone 3,NO,NO,Fail (Pressure),39.1,2 (Low),Not run,Not run,Not run,NO,n/a,n/a,2 (Low),0.8531,360,7.040556,1 (Negligible),I05,2,(Low),1,(Negligible),0,0,I05,433.200012,I05 433.200012206999,27,PVC,Low, , , , , ,0,433.2000122,175000,275000,5000,455000,0,455000,0,0,0,282500,0,6.52307
103,Polyline,L74,254,L74,169,15891,526191,R,A,4,00WM-B11-0031, ,  WN-B11-0045,  PWL,DI,595043,595057, N3, NS,TRSUB-TRANSMISSION MAIN,5261,01-01-1987 0:00,01A,CPP,400,3,1987,LOCAL,Y,Y,TRSUB-TRANSMISSION MAIN,169,L74,Consolidated,1112.340976,1987,0,(Low),(Negligible),2,1,CL,W,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,5,4,4,5,5,3,4,5,5,4,3,4,5,0.1,0.1,0.75,0.5,1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,1,0.25,0.25,0.25,3,2,1,3,3,3,2,1,1,2,0,3610.679932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,4.2,78.75,52.5,84,42,52.5,10.5,6.3,8.4,10.5,10.5,84,15.75,21,26.25,84,13667.90039,7530,169,1112.340976,21,509.2499695,CHURCH,ST, ,MISSISSAUGA,01-01-1987 0:00,57.725679,No,3.9709,24.25,0,Yes,0,0, ,YES,Zone 3,NO,NO,Fail (Pressure),37.5,2 (Low),Not run,Not run,Not run,NO,n/a,n/a,2 (Low),1.4626,360,37.966389,1 (Negligible),L74,2,(Low),1,(Negligible),0,0,L74,509.24997,L74 509.249969481999,27,CPP,Low, , , , , ,0,509.2499695,175000,275000,5000,455000,0,455000,0,0,0,1275000,0,99.014859
104,Polyline,I43,1234,I43,105,7832,515672,R,A,4,00WM-A12-0043, ,  WN-A12-0140,  PWL,DI,608412,594287, N4, NS,TRSUB-TRANSMISSION MAIN,5156,27395,01A,DI,400,4,1975,ARTERIAL,Y,Y,TRSUB-TRANSMISSION MAIN,105,I43,Consolidated,1385.367443,1975,0,(Low),(Negligible),2,1,CL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,4,4,5,5,3,4,5,5,4,3,4,5,0.75,0.1,0.75,0.5,1,0.5,0.5,0.1,0.5,1,0.1,0.1,1,0.1,1,1,3,2,1,3,2,3,2,1,1,2,0,35.821701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,75,50,80,40,50,10,30,80,10,10,80,6,80,100,100,135.600006,9590,105,1385.367443,20,720,BRITANNIA,RD,W,MISSISSAUGA,27395,528.822792,No,2.5945,36,0,Yes,0,0, ,YES,Zone 4,NO,NO,Fail (Pressure),39.5,2 (Low),Not run,Not run,Not run,NO,n/a,n/a,2 (Low),4.08,360,0.376667,1 (Negligible),I43,2,(Low),1,(Negligible),0,0,I43,720,I43 720,39,DI,High, , , , , ,150,720,175000,275000,5000,455000,0,0,0,455000,0,455000,0,573.663971
105,Polyline,I43,1234,I43,105,7832,515672,R,A,4,00WM-A12-0043, ,  WN-A12-0140,  PWL,DI,608412,594287, N4, NS,TRSUB-TRANSMISSION MAIN,5156,27395,01A,DI,400,4,1975,ARTERIAL,Y,Y,TRSUB-TRANSMISSION MAIN,105,I43,Consolidated,1385.367443,1975,0,(Low),(Negligible),2,1,CL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,4,4,5,5,3,4,5,5,4,3,4,5,0.75,0.1,0.75,0.5,1,0.5,0.5,0.1,0.5,1,0.1,0.1,1,0.1,1,1,3,2,1,3,2,3,2,1,1,2,0,35.821701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,75,50,80,40,50,10,30,80,10,10,80,6,80,100,100,135.600006,9590,105,1385.367443,20,720,BRITANNIA,RD,W,MISSISSAUGA,27395,528.822792,No,2.5945,36,0,Yes,0,0, ,YES,Zone 4,NO,NO,Fail (Pressure),39.5,2 (Low),Not run,Not run,Not run,NO,n/a,n/a,2 (Low),4.08,360,0.376667,1 (Negligible),I43,2,(Low),1,(Negligible),0,0,I43,720,I43 720,39,DI,High, , , , , ,150,720,175000,275000,5000,455000,0,0,0,455000,0,455000,0,528.822792
106,Polyline,I43,1234,I43,105,7832,515672,R,A,4,00WM-A12-0043, ,  WN-A12-0140,  PWL,DI,608412,594287, N4, NS,TRSUB-TRANSMISSION MAIN,5156,27395,01A,DI,400,4,1975,ARTERIAL,Y,Y,TRSUB-TRANSMISSION MAIN,105,I43,Consolidated,1385.367443,1975,0,(Low),(Negligible),2,1,CL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,4,4,5,5,3,4,5,5,4,3,4,5,0.75,0.1,0.75,0.5,1,0.5,0.5,0.1,0.5,1,0.1,0.1,1,0.1,1,1,3,2,1,3,2,3,2,1,1,2,0,35.821701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,75,50,80,40,50,10,30,80,10,10,80,6,80,100,100,135.600006,9590,105,1385.367443,20,720,BRITANNIA,RD,W,MISSISSAUGA,27395,528.822792,No,2.5945,36,0,Yes,0,0, ,YES,Zone 4,NO,NO,Fail (Pressure),39.5,2 (Low),Not run,Not run,Not run,NO,n/a,n/a,2 (Low),4.08,360,0.376667,1 (Negligible),I43,2,(Low),1,(Negligible),0,0,I43,720,I43 720,39,DI,High, , , , , ,150,720,175000,275000,5000,455000,0,0,0,455000,0,455000,0,264.131154
110,Polyline,C36,1383,C36,110,8220,516157,R,A,4,00WM-E15-0010, ,  WN-E15-0006,  PWL,DIHY,PC600561,600568, N5, NS,TRSUB-TRANSMISSION MAIN,5161,01-12-1992 0:00,01A,DIHY,400,5,1992,LOCAL,Y,Y,TRSUB-TRANSMISSION MAIN,110,C36,Singular,297.137373,1992,0,(Low),(Negligible),2,1,C,I,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,4,4,5,5,3,4,5,5,4,3,4,5,0.75,0.1,0.75,0.1,1,0.5,0.5,0.1,1,0.1,0.1,0.1,1,0.1,1,0.25,3,2,1,3,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,3.4,63.75,8.5,68,34,42.5,8.5,51,6.8,8.5,8.5,68,5.1,68,21.25,68,0,10094,110,297.137373,17,478.5499878,EDWARDS,BLVD, ,MISSISSAUGA,01-12-1992 0:00,297.137373,No,0.9804,28.15,0,Yes,0,0, ,YES,Zone 5,NO,NO,Pass,Pass,1 (Negligible),Not run,Not run,Not run,NO,n/a,n/a,1 (Negligible),0.2802,360,0,1 (Negligible),C36,2,(Low),1,(Negligible),0,0,C36,478.549988,C36 478.549987793,22,DIHY,Moderate, , , , , ,0,478.5499878,2500,275000,5000,282500,0,0,282500,0,0,905000,0,297.137373
127,Polyline,T50,1231,T50,129,9151,517698,R,A,4,00WM-A04-0068, ,  WN-A04-0003,  PWL,DI,602385,602548, N2, NS,TRSUB-TRANSMISSION MAIN,5176,01-01-1979 0:00,01A,DI,400,2,1979,LOCAL,Y,Y,TRSUB-TRANSMISSION MAIN,129,T50,Consolidated,242.29688,1979,0,(Low),(Negligible),2,1,C,I,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2,5,5,4,4,5,5,3,4,5,5,4,3,4,5,0.75,0.75,0.75,0.1,1,0.5,0.5,0.1,1,1,0.1,0.1,1,0.1,1,1,4,2,1,4,2,3,3,1,3,2,0,756.536011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,37.5,93.75,12.5,100,50,62.5,12.5,75,100,12.5,12.5,100,7.5,100,125,125,2863.800049,11658,129,242.29688,25,920,SOUTH SHERIDAN,WAY, ,MISSISSAUGA,01-01-1979 0:00,234.621678,No,1.2662,36.799999,0,Yes,0,0, ,YES,Zone 2,NO,NO,Fail (Pressure),38.4,2 (Low),Not run,Not run,Not run,NO,n/a,n/a,2 (Low),0.6225,360,7.955,1 (Negligible),T50,2,(Low),1,(Negligible),0,0,T50,920,T50 920,35,DI,High, , , , , ,24,920,175000,1250000,5000,1430000,0,0,0,1430000,0,825000,0,5.387556
128,Polyline,C38,1232,C38,128,9137,517670,R,A,4,00WM-A04-0057, ,  WN-A04-0033,  PWL,DI,602389,602509, N2, NS,TRSUB-TRANSMISSION MAIN,5176,01-08-1973 0:00,01A,DI,400,2,1976,LOCAL,Y,Y,TRSUB-TRANSMISSION MAIN,128,C38,Singular,993.982295,1976,0,(Low),(Negligible),2,1,C,I,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,5,5,4,4,5,5,3,4,5,5,4,3,4,5,0.75,0.1,0.75,0.1,1,0.5,0.5,0.1,1,0.1,0.1,0.1,1,0.1,1,1,3,2,1,5,2,3,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,5.2,97.5,13,104,52,65,13,78,10.4,13,13,104,7.8,104,130,130,0,11639,128,993.982295,26,829.3999634,BENEDET,DR, ,MISSISSAUGA,01-08-1973 0:00,993.982295,No,0.7689,31.9,0,Yes,0,0, ,YES,Zone 2,NO,NO,Pass,Pass,1 (Negligible),Not run,Not run,Not run,NO,n/a,n/a,1 (Negligible),0.3799,360,0,1 (Negligible),C38,2,(Low),1,(Negligible),0,0,C38,829.399963,C38 829.399963379,38,DI,High, , , , , ,57,829.3999634,175000,275000,750000,1200000,0,0,0,1200000,0,455000,0,993.982295
