COMPKEY,W/O #,Service Request #,No. Breaks,W/O Date,SRC,Asset Type,Mat,Dia,FROM NODE,TO NODE,Failure Type,Failure Cause,W/M Depth,Soil Type,UNIT,Street,Pres Zone,Zone,Tile
939272,  2266621,2620484,1,29/08/2015,C_UT,WMN,DI,300,595851,6591019,1.3,8.5,2.20 ,CLAY,,CLARK BLVD,5,B62,0819
508195,  2263400,2551442,1,24/08/2015,C_UT,WMN,PVC,150,599097,599015,2.1,8.6,1.70 ,CLAY,NP,NEWPORT ST,6,B45,0953
859158,  2260934,2603375,1,18/08/2015,C_UT,WMN,DI,150,6582257,599165,1.3,8.5,1.70 ,CLAY,128,KINGSWOOD DR,6,B43,0895
507822,  2260822,2603375,1,18/08/2015,C_UT,WMN,DI,150,599531,599163,1.3,8.5,1.70 ,CLAY,98,KINGSWOOD DR,6,B43,0895
877491,  2256142,2586263,1,06/08/2015,C_UT,WMN,DI,400,597779,6585940,1.3,8.5,2.00 ,CLAY,499,STEELES AVE,5,B59,0690
512133,  2256133,2586378,1,06/08/2015,C_UT,WMN,DI,300,596277,596278,1.3,8.7,2.00 ,CLAY,24,MELANIE DR,4,B80,0722
860629,  2253440,2581464,1,03/08/2015,C_UT,WMN,DI,300,596256,6582624,1.3,,0.00 ,,6,WESTWYN CT,4,B78,0671
717007,  2253443,2581453,1,03/08/2015,C_UT,WMN,CI,150,6556406,597020,1.1,,0.00 ,,10,AINTREE CR,5,B63,0795
512133,  2253457,2581168,1,02/08/2015,C_UT,WMN,DI,300,596277,596278,1.3,8.7,1.83 ,CLAY,28,MELANIE DR,4,B80,0722
882134,  2252748,2580231,1,31/07/2015,C_UT,WMN,CI,250,6586966,597126,1.1,,1.70 ,CLAY,64,BARTLEY BULL PKWY,5,B60,0715
716703,  2242429,2493805,1,13/07/2015,C_UT,WMN,CI,150,6556064,597040,1.1,8.5,2.00 ,CLAY,13,CHILTERN CT,5,B63,0821
648761,  2238883,2544737,1,06/07/2015,C_UT,WMN,PVC,300,6507765,6459522,2.1,8.4,2.00 ,CLAY,240,BRISDALE DR,6,B22,0998
774769,  2235691,2532197,1,26/06/2015,C_UT,WMN,DI,150,6566607,596322,1.3,8.5,2.00 ,CLAY,304,ROYAL SALISBURY WAY,6,B44,0896
836436,  2234440,2529010,1,24/06/2015,C_UT,WMN,DIHYPC,400,6566934,6575748,1.3,8.5,2.40 ,SAGR,Gore,CASTLEMORE RD,5,B52,1044
878240,  2233702,2477521,1,23/06/2015,C_UT,WMN,CPP,400,6586080,6586076,4.1,8.7,3.50 ,CLAY,Country,TORBRAM RD,6,B30,1150
511499,  2202688,2471115,1,01/05/2015,C_UT,WMN,COPP,50,598873,598504,1.3,8.1,2.00 ,CLAY,11,HOMELAND CT,5,B46,0871
788078,  2199672,2468371,1,29/04/2015,C_UT,WMN,DI,300,596349,6568445,,,0.00 ,,2000,CLARK BLVD,5,B65,0825
747081,  2197252,2464619,1,26/04/2015,C_UT,WMN,DI,150,6563004,599329,1.3,8.5,2.00 ,CLAY,471,HANSEN RD,6,B44,0923
526464,  2197251,2464447,3,26/04/2015,C_UT,WMN,DI,300,608636,608630,1.3,8.7,3.50 ,CLAY,Tortois,GOREWAY DR,5,B31,1125
509576,  2197097,2464500,1,25/04/2015,C_UT,WMN,DI,300,6325461,596874,1.3,8.7,2.00 ,CLAY,67,SELBY RD,5,B61,0766
516319,  2196485,2463052,1,24/04/2015,C_UT,WMN,DI,150,601057,601058,1.3,8.7,2.00 ,CLAY,7302,REDFOX RD,4,Z48W,0654
516558,  2188783,2456394,1,18/04/2015,C_UT,WMN,CPP,400,600691,600688,4.1,8.7,2.50 ,,1935,DREW RD,4,,0624
512434,  2178381,2446537,1,09/04/2015,C_UT,WMN,CI,300,596935,596957,1.3,8.5,3.00 ,CLST,55,WEST DR,5,B62,0793
511250,  2167313,2441954,1,06/04/2015,C_UT,WMN,DI,150,599535,599536,1.3,8.5,2.00 ,CLAY,6,WRIGHT ST,5,B43,0894
507670,  2164483,2438457,1,01/04/2015,C_UT,WMN,PVC,150,599481,599734,1.1,8.7,2.00 ,CLST,63,MOORE ST,5,B42,0893
885861,  2163005,2435483,1,30/03/2015,C_UT,WMN,DI,300,598951,6587905,5.1,8.5,2.00 ,CLAY,106,RUTHERFORD RD,5,B44,0869
509239,  2161817,2370969,1,27/03/2015,C_UT,WMN,DI,300,599261,597494,,,0.00 ,,49,QUEEN ST,5,B42,0815
508054,  2160647,2429240,1,25/03/2015,C_UT,WMN,DI,150,598953,598952,1.1,8.7,1.80 ,CLAY,34,REIGATE AVE,5,B44,0869
508054,  2158787,2429240,1,20/03/2015,C_UT,WMN,DI,150,598953,598952,1.1,8.7,1.80 ,CLAY,34,REIGATE AVE,5,B44,0869
672004,  2151659,2425976,1,16/03/2015,C_UT,WMN,DI,150,6524228,6524224,4.1,8.7,1.60 ,CLAY,32,GLENFIELD CR,5,B47,0901
515971,  2149491,2422489,1,11/03/2015,C_UT,WMN,CI,300,592758,592738,1.1,8.5,1.80 ,CLAY,Airway,VISCOUNT RD,4,Z40W,0525
507358,  2148899,2421725,1,10/03/2015,C_UT,WMN,PVC,150,600036,600033,1.1,8.5,2.50 ,CYSI,2,LENECK AVE,5,B41,0813
526587,  2146956,2417812,1,05/03/2015,C_UT,WMN,COPP,50,598662,598664,4.1,8.5,1.60 ,CLAY,48,LAMONT PL,5,B45,0844
885262,  2146525,2416457,1,04/03/2015,C_UT,WMN,PVC,300,6587738,6587739,2.1,8.7,2.00 ,CYSI,Bram,ORENDA RD,5,B63,0745
508547,  2139568,2408983,1,20/02/2015,C_UT,WMN,DI,150,598597,598598,1.1,8.5,2.00 ,CLAY,65,GREENWOOD CR,5,B47,0901
508001,  2137126,2407696,1,17/02/2015,C_UT,WMN,DI,300,599326,599386,1.3,8.5,2.50 ,CLAY,252,RUTHERFORD RD,6,B44,0896
525923,  2131474,2399918,1,04/02/2015,C_UT,WMN,DI,300,601168,601164,1.3,8.5,2.00 ,CLAY,7347,KIMBEL ST,4,,0652
665552,  2127822,2394906,1,27/01/2015,C_UT,WMN,AC,150,6521145,596750,1.1,8.5,2.00 ,CLAY,12,DUDLEY PL,5,B64,0771
859655,  2125752,2391476,1,25/01/2015,C_UT,WMN,PVC,300,6582341,592746,5.1,8.5,2.00 ,CLAY,6810,PROFESSIONAL CT,4,Z40W,0602
507303,  2125775,2393679,1,25/01/2015,C_UT,WMN,DI,150,600029,600030,1.1,8.5,2.00 ,CLAY,3,CAMBRIDGE CR,5,B41,0838
853147,  2107832,2387865,1,16/01/2015,C_UT,WMN,PVC,150,6576982,6580357,5.1,8.7,2.00 ,CLAY,8666,CREDITVIEW RD,5,B56,0759
516283,  2105963,2385190,1,12/01/2015,C_UT,WMN,CI,200,600649,600945,1.1,8.7,2.50 ,CLAY,3805,MORNING STAR DR,4,Z48E,0656
699773,  2095274,2380038,1,03/01/2015,C_UT,WMN,CI,200,600613,6539145,1.1,8.5,8.00 ,CLAY,3615,MORNING STAR DR,4,Z48E,0678
509239,  2094063,2370969,1,29/12/2014,C_UT,WMN,DI,300,599261,597494,4.1,8.5,8.00 ,,43,QUEEN ST,5,B42,0815
863863,  2078660,2373362,1,21/12/2014,C_UT,WMN,CI,300,601454,6583656,,,0.00 ,,11623,DIXIE RD,6,B10,1147
697740,  2032075,2354367,1,10/12/2014,C_UT,WMN,CPP,600,595855,6537786,4.1,8.5,2.00 ,CLAY,,QUEEN ST,5,B58,0814
507442,  2027473,2361185,1,02/12/2014,C_UT,WMN,CI,150,600149,599995,1.1,8.7,2.00 ,CYSI,26,SANFORD CR,5,B41,0839
509571,  2027088,2360651,1,01/12/2014,C_UT,WMN,DI,300,597350,597351,1.1,8.7,2.00 ,CLAY,147,HEART LAKE RD,5,B61,0793
509239,  2017943,2349526,1,15/11/2014,C_UT,WMN,DI,300,599261,597494,1.3,8.5,2.50 ,SICY,33,QUEEN ST,5,B42,0815
806948,  2014838,2346316,1,11/11/2014,C_UT,WMN,DI,300,6543005,6572700,1.3,8.5,2.00 ,SICY,87,EASEMENT ,5,B61,0792
656891,  2008240,2334598,1,25/10/2014,C_UT,WMN,CI,150,1068954,6514464,1.1,8.7,6.00 ,CLAY,11,HASLEMERE AVE,5,B60,0816
877491,  2003201,2330113,1,19/10/2014,C_UT,WMN,DI,400,597779,6585940,1.3,8.3,2.80 ,SACL,499,STEELES AVE,5,B59,0690
511080,  2003007,2328817,1,18/10/2014,C_UT,WMN,PVC,150,600103,600104,1.2,8.7,6.00 ,CLAY,64,CORTEZ CT,6,B41,0837
716703,  1999705,2325243,1,13/10/2014,C_UT,WMN,CI,150,6556064,597040,1.1,8.1,2.00 ,CLAY,17,CHILTERN CT,5,B63,0821
716703,  1999715,2325207,1,13/10/2014,C_UT,WMN,CI,150,6556064,597040,1.1,8.1,2.00 ,CLAY,17,CHILTERN CT,5,B63,0821
853850,  1999972,2322340,1,09/10/2014,C_UT,WMN,DI,200,6580525,592317,1.3,8.5,1.70 ,CLAY,40,REYNIER DR,6,B26,1059
754592,  1992137,2313848,1,28/09/2014,C_UT,WMN,DI,200,6565527,601769,1.3,8.7,2.25 ,CLAY,,SUTTER AVE,6,B25,1030
690722,  1984470,2304004,1,17/09/2014,C_UT,WMN,PVC,200,599936,6531608,4.1,8.7,2.50 ,CLAY,10950,THE GORE RD,5,B33,1157
638727,  1983642,2303451,1,16/09/2014,C_UT,WMN,DI,400,6475193,597782,1.3,8.5,3.00 ,CLAY,Opp 160,MAIN ST,5,B59,0763
638727,  1983241,2302908,1,15/09/2014,C_UT,WMN,DI,400,6475193,597782,1.3,8.5,2.50 ,CLAY,opp 160,MAIN ST,5,B59,0763
703841,  1976048,2292817,1,03/09/2014,C_UT,WMN,DI,400,6541804,6543006,1.3,8.5,3.00 ,GRAV,50,CLARENCE ST,5,B61,0766
508513,  1975176,2291520,1,02/09/2014,C_UT,WMN,DI,150,598402,598522,1.3,8.5,2.00 ,CLAY,,HILLDALE CR,5,B46,0899
509678,  1972390,2287908,1,27/08/2014,C_UT,WMN,DI,200,596962,596937,,,0.00 ,,5,TILBURY CT,5,B62,0793
510530,  1969892,2285606,1,25/08/2014,C_UT,WMN,DI,400,597520,597131,1.3,8.5,2.30 ,CLAY,184,MAIN ST,5,B59,0763
916842,  1966400,2279976,1,18/08/2014,C_UT,WMN,CI,300,596793,6588596,1.1,8.7,2.10 ,CASP,114,EAST DR,5,B64,0745
516416,  1966242,2278685,1,15/08/2014,C_UT,WMN,DI,150,601058,601057,2.1,8.5,2.00 ,SICY,7229,REINDEER DR,4,Z48W,0654
679629,  1957062,2264843,1,30/07/2014,C_UT,WMN,PVC,150,6526805,6526964,,,1.80 ,,5,HOMEVIEW RD,4,B50,0988
511353,  1943385,2243392,1,07/07/2014,C_UT,WMN,DI,150,599314,599178,1.3,8.5,1.70 ,CLAY,20,CAMBERLEY CR,6,B43,0922
