W/O #,Service Request #,No. of Breaks,W/O Date,SRC,Asset Type,Mat,Dia,FROM NODE,TO NODE,Failure Type,Failure Cause,W/M Depth,Soil Type,UNIT,Street,Pres Zone,Zone,Tile,COMPKEY
  1348496,1623616,1,16/02/2012,WOLF,WMN,DI,300,592540,593044,1.3,8.5,2.74 ,CLAY,1305,CRESTLAWN DR,3,Z27,0331,515771
  1015779,1344864,2,16/08/2010,WOLF,WMN,DI,300,592540,593044,1.3,8.5,2.13 ,CLAY,1295,CRESTLAWN DR,3,Z27,0331,515771
   641555,991313,1,25/10/2008,WOLF,WMN,DI,300,592540,593044,1.3,8.5,2.44 ,CLAY,1255,CRESTLAWN DR,3,Z27,0331,515771
   641177,990385,1,23/10/2008,WOLF,WMN,DI,300,592540,593044,1.3,8.5,0.00 ,CLAY,1265,CRESTLAWN DR,3,Z27,0331,515771
   279121,253637,1,06/09/2004,WOLF,WMN,DI,300,592540,593044,1.3,8.5,3.00 ,SHCL,,CRESTLAWN DR,3,Z27,0331,515771
   248474,179280,2,04/04/2004,WOLF,WMN,DI,300,592540,593044,1.3,8.5,2.88 ,CLAY,,CRESTLAWN DR,3,Z27,0331,515771
   181776,89531,1,22/04/2003,WOLF,WMN,DI,300,592540,593044,1.3,8.5,1.80 ,CLAY,,CRESTLAWN DR,3,Z27,0331,515771
  1418172,1701757,1,19/06/2012,WOLF,WMN,CPP,500,592544,592545,1.3,8.5,4.57 ,CLAY,1205,EGLINTON AVE,3,Z36E,0330,515757
  1023378,1355773,1,06/09/2010,WOLF,WMN,DI,300,592548,592554,1.3,8.5,2.44 ,CLAY,1145,FEWSTER DR,3,Z27,0309,515777
    63263,1,1,31/07/2001,WOLF,WMN,DI,300,592548,592554,1.1,8.7,3.00 ,CLAY,,FEWSTER DR,3,Z27,0309,515777
  2144596,2413548,1,27/02/2015,WOLF,WMN,DI,300,592554,592542,1.3,8.5,3.05 ,SAND,1197,FEWSTER DR,3,Z27,0331,515778
  1431359,1735848,2,01/08/2012,WOLF,WMN,DI,300,592554,592542,1.2,8.5,2.13 ,SACL,1205,FEWSTER DR,3,Z27,0331,515778
  1416148,1700539,1,17/06/2012,WOLF,WMN,DI,300,592554,592542,1.3,8.5,1.83 ,CLAY,1205,FEWSTER DR,3,Z27,0331,515778
  1013065,1341061,2,09/08/2010,WOLF,WMN,DI,300,592554,592542,1.3,8.5,1.83 ,CLAY,1235,FEWSTER DR,3,Z27,0331,515778
   704552,1028492,1,08/01/2009,WOLF,WMN,DI,300,592554,592542,1.3,8.5,2.13 ,CLAY,1255,FEWSTER DR,3,Z27,0331,515778
   463633,648888,2,14/02/2007,WOLF,WMN,DI,300,592554,592542,1.3,8.5,2.40 ,CLAY,1205,FEWSTER DR,3,Z27,0331,515778
   416577,553608,1,28/06/2006,WOLF,WMN,DI,300,592554,592542,1.3,,2.50 ,CLAY,1197,FEWSTER DR,3,Z27,0331,515778
