W/O #,Service Request #,No. of Breaks,W/O Date,SRC,Asset Type,Mat,Dia,FROM NODE,TO NODE,Failure Type,Failure Cause,W/M Depth,Soil Type,UNIT,Street,Pres Zone,Zone,Tile,COMPKEY
  2142604,2413295,1,24/02/2015,V_UT,WMN,DI,150,1602679,6573044,,,0.00 ,,,FOUNDRY ST,5BOL,C03,1528,808791
  2031410,1,1,08/12/2014,V_UT,WMN,COPP,50,608606,608607,,,0.00 ,,,BAYFIELD CT,7,C05,1230,525372
  2030215,1,1,04/12/2014,V_UT,WMN,PVC,150,608621,608622,,8.1,10.00 ,,,DIXIE RD,7,C05,1482,525435
  1941128,1,1,30/06/2014,V_UT,WMN,DI,150,1602701,1602677,,,0.00 ,,,HESP DR,5BOL,,1528,542113
  1925041,2214817,1,04/06/2014,V_UT,WMN,DI,300,1604489,1651963,,,0.00 ,,,MOUNT HOPE RD,8A,,1973,543577
  1905993,1,1,01/05/2014,V_UT,WMN,PVC,200,608560,608383,4.1,8.5,9.00 ,,,HEALEY RD,6,,1360,525828
  1868716,2163396,1,22/03/2014,V_UT,WMN,DI,300,1604429,1604361,,,0.00 ,,,MOUNT HOPE RD,8A,,2082,543025
  1834672,1,1,21/01/2014,V_UT,WMN,DI,150,1602701,1602677,1.3,8.5,0.00 ,SACL,,HESP DR,5BOL,,1528,542113
  1660423,1,1,20/06/2013,V_UT,WMN,DI,300,1602757,1602737,5.2,8.7,2.43 ,GRAC,,WILLOW ST,5BOL,,1529,542146
  1658525,1,1,17/06/2013,V_UT,WMN,DI,150,1602679,6573044,1.3,8.5,1.30 ,,,FOUNDRY ST,5BOL,C03,1528,808791
  1582632,1860955,1,20/03/2013,V_UT,WMN,PVC,300,1603909,1603923,1.1,8.7,2.13 ,SACL,15771,AIRPORT RD,8B,,1820,542758
  1566031,1,1,10/02/2013,V_UT,WMN,PVC,150,6518845,1601935,1.1,8.5,4.00 ,,,HICKMAN ST,5BOL,C03,1529,660962
  1451126,1,1,20/09/2012,V_UT,WMN,PVCTWG,150,1603339,1603335,,8.7,1.82 ,SACL,19,GRANITE STONES DR,8B,,1961,542469
  1451171,1,1,20/09/2012,V_UT,WMN,PVC,200,1604081,1604083,5.1,8.5,1.82 ,SACL,175,KING ST,8E,,1404,542873
