FID,Shape *,OBJECTID,GIS_Featur,Status,MATERIAL,MATERIAL_CD,Mat_Fact,TARGET_Mat_Fact,Age,Remaining_Life,RSL,TARGET_Remaining_Life,TARGET_RSL,RSL_SCR,TARGET_RSL_SCR,RSL_Level,TARGET_RSL_Level,MaterialCl,INSTALL_DA,FRM_NODE,TO_NODE,DIAMETER,LEN_M,Operation_Cost,Maintenance_Cost,REPLC_COST,MI,MI_SCR,INST_YR,TotBrks,TotBrks_Lenght,BRK_SCR,BRK_SCR_TARGET,TotBrks_Level,BRKS_FVYRS,BRKS_FVYRS-Lenght,BRKS_FVYRS_SCR,BRKS_FVYRS_SCR_TARGET,BRKS_FVYRS_Level,Condition_Score,TARGET_Condition_Score,Condition_Score_Level,TARGET_Condition_Score_Level,Condition_level,TARGET_Condition_level,StreetNumb,StreetName,StreetFrom,StreetTo,Owner,Constructe,Condition,JointType,CFactor,CFactorDat,Corrosio_1,Rehabilita,Rehabili_1,Rehabili_2,AnodeType,Flushed,FlushDate,EasementLo,Memo,PipeLocati,ImportantC,AssumeDate,GIS_ID,Constructe,Corrosio_1,TEXTLABEL,TOBEREPLAC,HANSEN_COM,TRANS,TotBrks,SOIL,WaterBodie,Under Bridger,RoadWay,Forest_Gre,River_cree,LandFill,WL,HWY,RWY,TracerWire,Rehabilita,Rehabili_1,Rehabili_2,AnodeType,FlushDate,Easement,EasementLo,DeadEnd,RoadClass,ReportNumb,DrawingNum,HydrantCon,Maintenanc,MeterRoute,HighLevelA,MapGrid,CriticalCr,PipeLocati,ImportantC,CorrosionP,Medical_Services,STANDARD_CONFOR,f,R,HL,HEAD_LOSS_,,BreakDate1,BreakYear1,BreakDate2,,BreakYear2,BreakDate3,BreakYear3,,BreakDate4,BreakYear4,,BreakDate5,BreakYear5,,BreakDate6,BreakYear6,,BreakDate7,BreakYear7,,BreakDate8,BreakYear8,,BreakDate9,BreakYear9,,BreakDat_10,BreakYear10,,BreakDat-2,,BreakDat-3,,BreakDat-4,,BreakDat-5,,BreakDat-6,BreakDat-7,BreakDat-8,BreakDat-9,,BreakDa-10,,BreakDa-11,BreakDa-12,,BreakDa-13,BreakDa-14,BreakDa-15,BreakDa-16,BreakDa-17,,CauseOfBre,CauseOfB_1,CauseOfB_2,CauseOfB_3,CauseOfB_4,CauseOfB_5,CauseOfB_6,CauseOfB_7,CauseOfB_8,CauseOfB_9,CauseOf_10,CauseOf_11,CauseOf_12,CauseOf_13,CauseOf_14,CauseOf_15,CauseOf_16,CauseOf_17,CauseOf_18,CauseOf_19,CauseOf_20,CauseOf_21,CauseOf_22,CauseOf_23,CauseOf_24,CauseOf_25,Performanc_SCR,TARGET_Performanc_SCR,Performance_Score_Level,TARGET_Performance_Score_Level,Performance_Level,TARGET_Performance_Level,DIA_SCR,TARGET_DIA_SCR,ENVMT_SCR,TARGET_ENVMT_SCR,ACCESS_SCR,TARGET_ACCESS_SCR,Criticality_SCR,TARGET_Criticality_SCR,Criticality_Score_Level,TARGET_Criticality_Score_Level,Criticality_Level,TARGET_Criticality_Level,PAN,TARGET_PAN,MITIGATION_Score_Level,TARGET_MITIGATION_Score_Level,MITIGATION_Level_PAN,TARGET_MITIGATION_Level_PAN,AssetName,Components,EOCCategor,EOCRecepti,EMSCategor,EMSTier1Cl,EMSTier2Cl,EMSHierarc,Rotation,NEW_DEVELO,Development,GIS_ID_12,FILE_NO,Planner,Status_1,CONDO_PLAN,CPLANYEAR
0,Polyline,2013,L7311,ACTIVE,CI,CI,0.3,0.25,67,33.1,33.1,29.75,29.75,5,10,Medium,Moderately High,SPUN CAST,1950_01_01,N8149,N8148,150,117.9066,117.9066,88.42995,176859.9,3.861666667,10,1950,3,0.025443868,5,7.35,Very High,1,0.008481289,5,7.35,Very High,200,308.83,Medium,Moderately High,3,4, ,LYMAN ST,RABB ST,RABB ST,CITY, ,UNKN,UNKN,44,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,11516079, ,3000-01-01,150 CI, ,L7311,0,4,Sand,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,1,0,0,1, , , ,81-61, ,1,1,0,0,15,0.04681637,6.01844E-12,5.416598979,15,1,2013-01-31,2013,1996-12-04,,1996,1996-02-25,1996,,1979-02-08,1979,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,,SETTLEMENT,DETERIORATION,DETERIORATION,SETTLEMENT, , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,590,567.13,REPLACE,REPLACE,3,3, , , , , , , , ,0,NO,0,0, , , , , 
1,Polyline,2014,L13343,ACTIVE,DI,DI,0.5,0.26,29,65.5,65.5,58.54,58.54,0,0,Very Low,Very Low,CL 52,1988_08_19,N4011,N4010,100,19.76,19.76,14.82,29640,7.641666667,15,1988,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3,301,OXFORD ST W,CHERRYHILL BLVD,CHERRYHILL BLVD,PRIVATE, ,SATI,UNKN,0,3000-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,21570675, ,3000-01-01,100 DI, ,L13343,0,0, ,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,0,0,0, , , ,77-59, ,0,0,0,0,15,0.054860098,8.97528E-12,8.077754404,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,600,559.5,REPLACE,REPLACE,3,3, , , , , , , , ,0,NO,0,0, , , , , 
2,Polyline,2015,L15217,ACTIVE,PVC,PVC,0.1,0.04,21,61.1,61.1,59.84,59.84,0,0,Very Low,Very Low,DR 18,1996_07_24,N3091,N3089,200,95.027682,95.027682,71.2707615,142541.523,7.128333333,15,1996,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,TAYLOR ST,STRATHMEYER ST,CHEAPSIDE ST,CITY, ,SATI,UNKN,130,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,25607067, ,3000-01-01,200 PVC, ,L15217,1,1,Silt,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,2,96-070,0,1, , , ,80-61, ,1,1,0,0,15,0.042136065,1.036E-12,0.932397832,0,,1983-02-17,1983,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,,CORROSION, , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,0,0,90,46.2,Moderately Low,Very Low,2,1,360,391.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
3,Polyline,2016,L4653,ACTIVE,CONC,CPP,1,0.25,51,80,80,41.75,41.75,0,5,Very Low,Medium,C301L,1966_01_01,N10040,N10034,900,170.76,170.76,128.07,256140,9.333333333,15,1966,0,0,0,6,,0,0,0,6,,120,284.8,Moderately Low,Medium,2,3, ,WHETTER AVE,WELLINGTON RD,TREVITHEN ST,CITY, ,UNKN,UNKN,110,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,7499000, ,3000-01-01,900 CONC, ,L4653,0,0,Silt,0,0,1,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,2,0,0,0, , , ,81-57, ,1,1,0,1,15,0.026197846,6.27255E-16,0.000564529,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,15,6.6,15,0,0,0,180,46.2,Moderately High,Very Low,4,1,600,541,REPLACE,REPLACE,3,3,Rowntree Park Early Childhood Learning Centre, ,Child Care Facilities,n/a,Infrastructure,Special Care,Child Day Care,ems.infrastructure.specialCare.childDayCare,90,NO,0,0, , , , , 
4,Polyline,2017,L15202,ACTIVE,PVC,PVC,0.1,0.04,21,61.1,61.1,59.84,59.84,0,0,Very Low,Very Low,DR 18,1996_05_09,N3097,N3096,200,89.194612,89.194612,66.895959,133791.918,7.128333333,15,1996,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,INVERNESS AVE,KILDARE RD,SHERENE TERR,CITY, ,SATI,UNKN,130,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,25591897, ,3000-01-01,200 PVC, ,L15202,1,2,Silt,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,1,96-074,0,0, , , ,75-58, ,1,1,0,0,15,0.042136065,9.72405E-13,0.875164595,0,,1989-11-03,1989,1974-01-05,,1974,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,,CORROSION,IMPROPER BEDDING, , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,0,0,90,46.2,Moderately Low,Very Low,2,1,360,391.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
5,Polyline,2018,L16421,ACTIVE,PVC,PVC,0.1,0.04,19,62.9,62.9,61.76,61.76,0,0,Very Low,Very Low,DR 18,1998_07_25,N16134,N16135,250,50.52,50.52,37.89,75780,7.338333333,15,1998,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3,1030,ADELAIDE ST S,NEWBOLD ST,NEWBOLD ST,PRIVATE, ,SATI,UNKN,130,1998-07-25,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, ,0,0,0,<Null>,25626144, ,3000-01-01,250 PVC, ,L16421,1,0, ,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,0,98-084,0,0, , , ,83-53, ,0,0,0,0,15,0.038972696,1.66928E-13,0.150234913,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,450,454.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
6,Polyline,2019,L3948,ACTIVE,CI,CI,0.3,0.25,139,-17.3,0,-24.25,0,15,15,Very High,Very High,PIT RUN,1878_01_01,N11048,N11039,150,67.61,67.61,50.7075,101415,-2.018333333,5,1878,0,0,0,6,,0,0,0,6,,160,284.8,Moderately Low,Medium,2,3, ,DUNDAS ST,RICHMOND ST,RICHMOND ST,CITY, ,NREP,UNKN,30,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, ,1900,1,1,<Null>,5887000, ,3000-01-01,150 CI, ,L3948,0,0,Sand,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,3,0,0,0, , , ,79-59,Unknown,1,1,0,0,15,0.04681637,3.4511E-12,3.105986068,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,550,543.1,RELINE - REHAB,REPLACE,2,3, , , , , , , , ,0,NO,0,0, , , , , 
7,Polyline,2020,L15450,ACTIVE,CONC,CPP,1,0.25,52,80,80,41,41,0,5,Very Low,Medium,C301E,1965_01_01,N1408,N1404,750,9.1,9.1,6.825,13650,9.333333333,15,1965,0,0,0,6,,0,0,0,6,,120,284.8,Moderately Low,Medium,2,3, ,ARVA PUMPING STATION,MEDWAY RD,MEDWAY RD,CITY, ,UNKN,UNKN,110,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,2, ,3000-01-01,750 CONC, ,L15450,0,0,Silt,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,0,0,0, , , ,74-65, ,1,1,0,1,15,0.027594581,8.7612E-17,7.88508E-05,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,15,6.6,15,0,10,9,240,109.2,Very High,Moderately Low,5,2,660,604,UP SIZE,UP SIZE,4,4,John Gillies Arva Pumping Station, ,Waterworks,n/a,Infrastructure,Energy,Pumping Station,ems.infrastructure.energy.pumpingStation,90,NO,0,0, , , , , 
8,Polyline,2021,L15451,ACTIVE,CONC,CPP,1,0.25,33,80,80,55.25,55.25,0,0,Very Low,Very Low,C301L,1984_01_01,N1407,N1403,750,9.1,9.1,6.825,13650,9.333333333,15,1984,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,ARVA PUMPING STATION,MEDWAY RD,MEDWAY RD,CITY, ,UNKN,UNKN,110,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,3, ,3000-01-01,750 CONC, ,L15451,0,0,Silt,0,0,1,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,0,0,0, , , ,74-65, ,1,1,0,1,15,0.027594581,8.7612E-17,7.88508E-05,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,15,6.6,15,0,10,9,240,109.2,Very High,Moderately Low,5,2,660,559.5,UP SIZE,REPLACE,4,3,John Gillies Arva Pumping Station, ,Waterworks,n/a,Infrastructure,Energy,Pumping Station,ems.infrastructure.energy.pumpingStation,90,NO,0,0, , , , , 
9,Polyline,2022,L15407,ACTIVE,PVC,PVC,0.1,0.04,23,59.3,59.3,57.92,57.92,0,0,Very Low,Very Low,DR 18,1994_11_01,N3713,N3385,200,136.27,136.27,102.2025,204405,6.918333333,15,1994,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,COBBLESTONE ST,FARMHOUSE RD,WINTERGARDEN RD,CITY, ,SATI,UNKN,130,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,24670883, ,3000-01-01,200 PVC, ,L15407,1,0,Alluvium,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,1,95-034,0,0, , , ,81-64, ,1,1,0,0,15,0.042136065,1.48562E-12,1.337061474,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,0,0,90,46.2,Moderately Low,Very Low,2,1,360,391.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
