Mitigation_Matrix_Score,,CritPres2D,Tran_main,WL,TARGET_ENVMT_SCR,PAN,WTR,Performance_Level,Hosp_Serv,INFRA_STAT,HANSEN_COM,Condition_Score_Level,BRKS_FVYRS_Level,MI_SCR,STANDARD_CONFOR,Condition_level,Criticality_Score_Level,RiskThresh,FID,TRANS,TARGET_Criticality_SCR,BRKS_FVYRS,TARGET_Performance_Score_Level,TARGET_Mat_Fact,Criticality_Level,DIAMETER,FLP,Hospital,TARGET_Criticality_Level,Source,HL,ST_CLASS,HDL,Model_Mitigation,Criticality_SCR,Performance_Score_Level,HEAD_LOSS_SCR,Maintenance_Cost,School,Age,Med_Centre,BRKS_FVYRS_SCR_TARGET,Shape *,TARGET_Performanc_SCR,MI,TARGET_Model_ Mitigation,TARGET_Condition_Score_Level,RWY,Crit_Rests,CritConsSc,TARGET_Condition_Score,Condition_Score,TARGET_Condition_level,TARGET_RSL,FRM_NODE,TARGET_RSL_SCR,RSL_SCR,WPZ,INST_YR,New_Seg,Mat_Fact,HWY,ENVMT_SCR,TARGET_ACCESS_SCR,TotBrks,HEU,MATERIAL,OBJECTID,Operation_Cost,TotBrks_Lenght,R,QUALIT_SCR,Shape_Leng,Performanc_SCR,Active_Ope,DIA_SCR,f,TARGET_DIA_SCR,BRL_SCR_TARGET,TARGET_PAN,SOIL,INSTALL_DA,MATERIAL_CD,TARGET_MITIGATION_Score_Level,ST_DIR,ACCESS_SCR,LT_CARE,Airp_Serv,TARGET_Criticality_Score_Level,BRKS_FVYRS_SCR,BRK_Level,MITIGATION_Score_Level,REPLC_COST,TM,BRKS_FV_YRS_L,TO_NODE,LEN_M,TARGET_Performance_Level,TARGET_MITIGATION_Level_PAN,BRK_SCR,MI_Level,HPU,ESA,RSL_Level,ST_NAME,RSL,CITY,TARGET_QUALIT_SCR,MITIGATION_Level_PAN,ST_TYPE,OPSC,DRAINAGE
1,,39.6,NO,0,0,460,0,2,0,A,515614,Medium,Medium,15,0,3,Very Low,Moderate,0,0,73.5,27,Moderately Low,0.26,1,600,0,0,2,TRSUB-TRANSMISSION MAIN,0.0077388889,ARTERIAL,0,,30,Moderately Low,15,137.0575685,0,39,0,10.89,Polyline,105,0.109337338,,Very High,0,Fail (Pressure),2 (Low),384.836,280,5,28.86,593033,10,10,4,1978, ,0.5,0,0,0,37,0,DI,2,95.94029795,0.1349797768,8.60E-15,0,274.115137,150,YES,5,0.0294614908,7.5,7.35,563.336,CL,28/07/1986,DI,RELINE - REHAB, ,0,0,0,Moderately Low,5,Medium,RELINE - REHAB,2131,No,0.098498756,6525624,274.115137,2,2,5,High,0,0,High,WINSTON CHURCHILL,19.5,MISSISSAUGA,0,2,BLVD,2 (Low),W
1,,39.1,NO,0,0,400,0,2,0,A,513566,Moderately Low,Medium,15,15,2,Moderately Low,Low,1,0,52.5,0,Moderately Low,0.26,2,300,0,0,1,TRSUB-TRANSMISSION MAIN,0.1307566434,LOCAL,0,,90,Moderately Low,0,58.180329,1,4,0,6,Polyline,105,0.08446333,,Moderately High,0,Fail (Pressure),2 (Low),373.8,160,4,2.96,595049,15,5,3,2013, ,0.5,0,15,0,0,0,DI,101,40.7262303,0,1.45E-13,0,116.360658,150,YES,0,0.0366451703,7.5,6,531.3,CL,01-01-1987,DI,RELINE - REHAB, ,0,0,0,Very Low,0,Very High,RELINE - REHAB,1171,No,0,595056,116.360658,2,2,0,High,0,0,Medium,OLD PINE,35.5,MISSISSAUGA,0,2,ST,2 (Low),W
1,,39.1,NO,0,0,480,0,2,0,A,513566,Medium,Low,15,15,3,Moderately Low,Low,2,0,52.5,2,Moderately Low,0.26,2,300,0,0,1,TRSUB-TRANSMISSION MAIN,0.1307566434,LOCAL,0,,90,Moderately Low,0,58.180329,1,4,0,10.89,Polyline,105,0.08446333,,Very High,0,Fail (Pressure),2 (Low),429.336,240,5,2.96,595049,15,5,3,2013, ,0.5,0,15,0,23,0,DI,101,40.7262303,0.1976613092,1.45E-13,0,116.360658,150,YES,0,0.0366451703,7.5,7.35,586.836,CL,01-01-1987,DI,RELINE - REHAB, ,0,0,0,Very Low,5,Low,RELINE - REHAB,1171,No,0.0171879399,595056,116.360658,2,2,5,High,0,0,Medium,OLD PINE,35.5,MISSISSAUGA,0,2,ST,2 (Low),W
2,,37.5,NO,0,0,550,0,2,0,A,526191,Medium,Low,15,15,3,Medium,Low,3,0,52.5,3,Moderately Low,0.26,5,400,0,0,1,TRSUB-TRANSMISSION MAIN,0.2701530576,LOCAL,0,,120,Moderately Low,0,556.170488,1,30,0,10.89,Polyline,105,0.599930095,,Very High,0,Fail (Pressure),2 (Low),384.836,280,5,22.2,595043,10,10,3,1987, ,0.5,0,15,0,8,0,DI,169,389.3193416,0.0071920393,3.00E-13,0,1112.340976,150,YES,5,0.0333752697,7.5,7.35,542.336,CL,01-01-1987,DI,RELINE - REHAB, ,0,0,0,Very Low,5,Low,RELINE - REHAB,1576,No,0.0026970147,595057,1112.340976,2,2,5,High,0,0,High,CHURCH,22.5,MISSISSAUGA,0,2,ST,2 (Low),W
1,,39.5,NO,0,0,270,0,1,0,A,515672,Medium,Low,15,0,3,Very Low,High,4,0,52.5,0,Very Low,0.26,1,400,0,0,1,TRSUB-TRANSMISSION MAIN,0.3364627023,ARTERIAL,0,,30,Very Low,0,692.6837215,0,42,0,6,Polyline,0,0.747184217,,Moderately High,0,Fail (Pressure),2 (Low),296.815,240,4,31.08,608412,5,10,4,1975, ,0.5,0,0,0,15,0,DI,105,484.8786051,0.0108274524,3.74E-13,0,1385.367443,0,YES,5,0.0333752697,7.5,7.35,349.315,CL,01-01-1975,DI,RELINE - REHAB,W,0,0,0,Very Low,0,Low,DO NOTHING,1576,No,0,594287,1385.367443,1,2,5,High,0,0,High,BRITANNIA,16.5,MISSISSAUGA,0,1,RD,2 (Low),P
1,,39.5,NO,0,0,310,0,1,0,A,515672,Medium,Low,15,0,3,Very Low,High,5,0,52.5,6,Very Low,0.26,1,400,0,0,1,TRSUB-TRANSMISSION MAIN,0.3364627023,ARTERIAL,0,,30,Very Low,0,692.6837215,0,42,0,10.89,Polyline,0,0.747184217,,Moderately High,0,Fail (Pressure),2 (Low),340.336,280,4,31.08,608412,5,10,4,1975, ,0.5,0,0,0,8,0,DI,105,484.8786051,0.0057746413,3.74E-13,0,1385.367443,0,YES,5,0.0333752697,7.5,7.35,392.836,CL,01-01-1975,DI,RELINE - REHAB,W,0,0,0,Very Low,5,Low,RELINE - REHAB,1576,No,0.0043309809,594287,1385.367443,1,2,5,High,0,0,High,BRITANNIA,16.5,MISSISSAUGA,0,2,RD,2 (Low),P
1,,39.5,NO,0,0,310,0,1,0,A,515672,Medium,Low,15,0,3,Very Low,High,6,0,52.5,1,Very Low,0.26,1,400,0,0,1,TRSUB-TRANSMISSION MAIN,0.3364627023,ARTERIAL,0,,30,Very Low,0,692.6837215,0,42,0,10.89,Polyline,0,0.747184217,,Moderately High,0,Fail (Pressure),2 (Low),340.336,280,4,31.08,608412,5,10,4,1975, ,0.5,0,0,0,5,0,DI,105,484.8786051,0.0036091508,3.74E-13,0,1385.367443,0,YES,5,0.0333752697,7.5,7.35,392.836,CL,01-01-1975,DI,RELINE - REHAB,W,0,0,0,Very Low,5,Low,RELINE - REHAB,1576,No,0.0007218302,594287,1385.367443,1,2,5,High,0,0,High,BRITANNIA,16.5,MISSISSAUGA,0,2,RD,2 (Low),P
1,,Pass,NO,0,0,310,0,1,0,A,516157,Medium,Low,15,0,3,Very Low,Moderate,7,0,52.5,12,Very Low,0.26,1,400,0,0,1,TRSUB-TRANSMISSION MAIN,0.0721654345,LOCAL,0,,30,Very Low,0,148.5686865,0,25,0,10.89,Polyline,0,0.160258101,,Very High,0,Pass,1 (Negligible),384.836,280,5,18.5,PC600561,10,10,5,1992, ,0.5,0,0,0,14,0,DIHY,110,103.9980806,0.0471162542,8.02E-14,0,297.137373,0,YES,5,0.0333752697,7.5,7.35,437.336,C,12-01-1992,DI,RELINE - REHAB, ,0,0,0,Very Low,5,Low,RELINE - REHAB,1576,No,0.0403853607,600568,297.137373,1,2,5,High,0,0,High,EDWARDS,25,MISSISSAUGA,0,2,BLVD,1 (Negligible),I
2,,38.4,NO,0,9,600,1,2,0,A,517698,Medium,Low,15,15,3,Moderately High,High,8,0,178.5,0,Moderately Low,0.26,5,400,1,0,4,TRSUB-TRANSMISSION MAIN,0.0588463829,LOCAL,0,,210,Moderately Low,0,121.14844,0,38,0,6,Polyline,105,0.130680424,,Moderately High,0,Fail (Pressure),2 (Low),341.315,240,4,28.12,602385,10,10,2,1979, ,0.5,1,15,9,5,0,DI,129,84.803908,0.0206358415,6.54E-14,0,242.29688,150,YES,5,0.0333752697,7.5,7.35,624.815,C,01-01-1979,DI,RELINE - REHAB, ,15,0,0,Moderately High,0,Very High,RELINE - REHAB,1576,No,0,602548,242.29688,2,2,5,High,0,1,High,SOUTH SHERIDAN,18.5,MISSISSAUGA,0,2,WAY,2 (Low),I
2,,Pass,NO,0,9,640,0,2,0,A,517670,Medium,Low,15,15,3,Moderately High,High,9,0,178.5,6,Moderately Low,0.26,5,400,0,0,4,TRSUB-TRANSMISSION MAIN,0.241407412,LOCAL,0,,210,Moderately Low,0,496.9911475,0,41,0,10.89,Polyline,105,0.536094512,,Moderately High,0,Pass,1 (Negligible),340.336,280,4,30.34,602389,5,10,2,1976, ,0.5,1,15,9,7,0,DI,128,347.8938033,0.007042379,2.68E-13,0,993.982295,150,YES,5,0.0333752697,7.5,7.35,623.836,C,08-01-1973,DI,RELINE - REHAB, ,15,0,0,Moderately High,5,Low,RELINE - REHAB,1576,No,0.0060363248,602509,993.982295,2,2,5,High,0,1,High,BENEDET,17,MISSISSAUGA,0,2,DR,1 (Negligible),I
