Replacement Cost,Current PAN #,Recent Number of Breaks Level,W/M Depth m,Asset Type,Recent Number of Break,Tile,Total Breaks Level,Operation Cost,MI Level,Mat,Recent Number of Breaks Score,TO NODE,W/O Date,Remaining Service Life ,Dia mm,Remaining Service Life Score,Pres Zone,MI Scores,SRC,Failure Cause,Maintenance Cost,Lenght m,FROM NODE,Zone,No. of Breaks,TotalCondition Level,Soil Type,Remaining Service Life Level,Total Break Score,Installation Date,Service Request #,Installation Year,Condition Score,Maintenance Index,Street,condition_model,W/O #,Failure Type,St Name
877,630,Low,2,WMN,0,0951,Medium,11.9,Medium,DI,0,599351,02-05-2014,43,150,5,6,10,C_UT,8.1,17,34,599353,B44,1,Very Low,CLAY,Medium,5,01-01-1979,2192182,1905,160,0.0329532497,ASHURST CR,Very Low,  1905928,1.3,ASHURST CR
1171,780,Low,2,WMN,0,0715,Medium,19.6,Medium,CI,0,597122,05-02-2014,31,250,5,5,10,C_UT,8.2,28,56,597569,B60,1,Very Low,CLAY,Medium,5,01-01-1967,2142110,1905,160,0.0406490179,BARTLEY BULL PKWY,Very Low,  1844041,1.2,BARTLEY BULL PKWY
877,590,Low,1.7,WMN,0,0922,Medium,7,Medium,DI,0,599178,07-07-2014,42,150,5,6,10,C_UT,8.5,10,20,599314,B43,1,Very Low,CLAY,Medium,5,01-01-1978,2243392,1905,160,0.0193842645,CAMBERLEY CR,Very Low,  1943385,1.3,CAMBERLEY CR
1089,550,Low,1.5,WMN,0,0643,Medium,61.6,High,PVC,0,596120,18-03-2014,50,200,0,5,15,C_UT,8.5,88,176,596106,B75,1,Very Low,CLAY,Low,5,01-01-1986,2157273,1905,160,0.1373737374,CHERRYTREE DR,Very Low,  1866281,4.1,CHERRYTREE DR
877,780,Low,2,WMN,0,0821,Medium,5.95,Medium,CI,0,597040,13-10-2014,29,150,10,5,10,C_UT,8.1,8.5,17,6556064,B63,1,Moderately Low,CLAY,High,5,01-01-1965,2325207,1905,200,0.0164766249,CHILTERN CT,Moderately Low,  1999715,1.1,CHILTERN CT
877,780,Low,2,WMN,0,0821,Medium,5.95,Medium,CI,0,597040,13-10-2014,29,150,10,5,10,C_UT,8.1,8.5,17,6556064,B63,1,Moderately Low,CLAY,High,5,01-01-1965,2325243,1905,200,0.0164766249,CHILTERN CT,Moderately Low,  1999705,1.1,CHILTERN CT
1576,660,Low,3,WMN,0,0766,Medium,17.5,Medium,DI,0,6543006,03-09-2014,29,400,10,5,10,C_UT,8.5,25,50,6541804,B61,1,Moderately Low,GRAV,High,5,01-01-1965,2292817,1905,200,0.0269670051,CLARENCE ST,Moderately Low,  1976048,1.3,CLARENCE ST
1171,690,Low,2,WMN,2,0820,Medium,66.5,High,DI,0,596924,06-01-2014,44,300,5,5,15,C_UT,8.5,95,190,595853,B62,3,Moderately Low,CLAY,Medium,5,01-01-1980,2123937,1905,200,0.1379163108,CLARK BLVD,Moderately Low,  1805452,1.3,CLARK BLVD
877,550,Low,6,WMN,0,0837,Medium,22.4,High,PVC,0,600104,18-10-2014,53,150,0,6,15,C_UT,8.7,32,64,600103,B41,1,Very Low,CLAY,Low,5,01-01-1989,2328817,1905,160,0.0620296465,CORTEZ CT,Very Low,  2003007,1.2,CORTEZ CT
826,700,Low,2,WMN,0,1057,Medium,14,Medium,COPP,0,601640,19-02-2014,44,50,5,6,10,C_UT,8.7,20,40,601639,B25,1,Very Low,CLAY,Medium,5,01-01-1980,2144463,1905,160,0.0411622276,CRENSHAW CT,Very Low,  1853515,4.1,CRENSHAW CT
877,550,Low,2.5,WMN,0,0950,Medium,4.9,Medium,DI,0,599628,18-06-2014,42,150,5,6,10,C_UT,8.5,7,14,599627,B43,1,Very Low,CLAY,Medium,5,01-01-1978,2223609,1905,160,0.0135689852,CROSSWOOD LANE,Very Low,  1935845,1.3,CROSSWOOD LANE
1171,510,Low,2.5,WMN,0,0771,Medium,51.45,High,PVC,0,6523452,25-02-2014,68,300,0,5,15,C_UT,8.1,73.5,147,6521105,B64,1,Very Low,CLAY,Low,5,01-07-2004,2136420,1905,160,0.1067036721,DEARBOURNE BLVD,Very Low,  1856623,4.1,DEARBOURNE BLVD
1171,660,High,2,WMN,3,0794,Low,4068.05,High,CI,10,596966,26-02-2014,28,300,10,5,15,C_UT,8.7,5811.5,11623,6591219,B63,4,Moderately High,CLAY,High,0,01-01-1964,2151365,1905,280,8.4368488471,DIXIE RD,Moderately High,  1857015,4.1,DIXIE RD
877,590,Low,2,WMN,0,0771,Medium,4.9,Medium,AC,0,596750,01-02-2014,31,150,5,5,10,C_UT,8.2,7,14,6521145,B64,1,Very Low,CLAY,Medium,5,01-01-1967,2140317,1905,160,0.0135689852,DUDLEY PL,Very Low,  1842348,1.1,DUDLEY PL
1171,550,Low,2,WMN,0,0792,Medium,30.45,High,DI,0,6572700,11-11-2014,29,300,10,5,15,C_UT,8.5,43.5,87,6543005,B61,1,Medium,SICY,High,5,01-01-1965,2346316,1905,240,0.0631511529,EASEMENT ,Moderately Low,  2014838,1.3,EASEMENT 
1171,740,Low,2.1,WMN,0,0745,Medium,39.9,High,CI,0,6588596,18-08-2014,46,300,5,5,15,C_UT,8.7,57,114,596793,B64,1,Moderately Low,CASP,Medium,5,01-01-1982,2279976,1905,200,0.0827497865,EAST DR,Very Low,  1966400,1.1,EAST DR
877,120,Low,2,WMN,0,0848,Medium,0.7,Low,AC,0,596698,04-03-2014,33,150,5,5,5,C_UT,8.1,1,2,6563146,B64,1,Very Low,SAND,Medium,5,01-01-1969,2154843,1905,120,0.0019384265,FLINDON GATE,Very Low,  1860230,2.1,FLINDON GATE
877,0,Low,2,WMN,0,0839,Medium,5.25,Medium,DI,0,6592419,04-01-2014,44,150,5,5,10,C_UT,8.5,7.5,15,6548404,B42,1,Very Low,CLAY,Medium,5,01-04-1980,2123538,1905,160,0.0145381984,HAGGERT AVE,Very Low,  1805048,1.1,HAGGERT AVE
877,700,Low,6,WMN,0,0816,Medium,3.85,Medium,CI,0,6514464,25-10-2014,28,150,10,5,10,C_UT,8.7,5.5,11,1068954,B60,1,Moderately Low,CLAY,High,5,01-01-1964,2334598,1905,200,0.0106613455,HASLEMERE AVE,Moderately Low,  2008240,1.1,HASLEMERE AVE
