BRKS_FVYRS_SCR,BRK_SCR,MI_SCR,RSL_SCR,out=1.0,out=2.0,out=3.0,out=4.0,out=5.0
0.0,0.0,10.0,0.0,0.99865,0.00135,0.0,0.0,0.0
0.0,10.0,10.0,0.0,0.0,0.77686,0.0,0.22314,0.0
0.0,15.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,5.0,10.0,0.0,0.99828,0.00154,0.0,0.00018,0.0
0.0,0.0,10.0,10.0,0.56577,0.43336,0.00087,0.0,0.0
0.0,10.0,10.0,10.0,0.0,0.98801,0.01061,0.00138,0.0
0.0,15.0,10.0,10.0,0.0,0.0,0.59278,0.40722,0.0
0.0,5.0,10.0,10.0,0.53209,0.46378,0.00387,0.00026,0.0
0.0,0.0,10.0,15.0,0.50961,0.44755,0.04284,0.0,0.0
0.0,10.0,10.0,15.0,0.0,0.53901,0.27694,0.07286,0.11119
0.0,15.0,10.0,15.0,0.0,0.0,0.13224,0.18345,0.6843
0.0,5.0,10.0,15.0,0.40722,0.40696,0.16262,0.02245,0.00075
0.0,0.0,10.0,5.0,0.08815,0.90991,0.00194,0.0,0.0
0.0,10.0,10.0,5.0,0.0,0.98679,0.01131,0.0,0.00191
0.0,15.0,10.0,5.0,0.0,0.0,0.31525,0.0,0.68475
0.0,5.0,10.0,5.0,0.07781,0.91403,0.00815,0.0,2e-05
10.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,10.0,10.0,0.0,0.0,0.02792,0.0,0.97208,0.0
10.0,15.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,5.0,10.0,0.0,0.0,0.06576,0.0,0.93424,0.0
10.0,0.0,10.0,10.0,0.0,0.99387,0.00613,0.0,0.0
10.0,10.0,10.0,10.0,0.0,0.83148,0.02754,0.14098,0.0
10.0,15.0,10.0,10.0,0.0,0.0,0.03572,0.96428,0.0
10.0,5.0,10.0,10.0,0.0,0.91329,0.02352,0.06318,0.0
10.0,0.0,10.0,15.0,0.0,0.77203,0.22797,0.0,0.0
10.0,10.0,10.0,15.0,0.0,0.00643,0.01019,0.10531,0.87808
10.0,15.0,10.0,15.0,0.0,0.0,0.00086,0.04673,0.95242
