ACCESS_SCR,DIA_SCR,ENVMT_SCR,out=2.0,out=3.0,out=4.0,out=5.0
0.0,0.0,0.0,0.04962,0.95038,0.0,0.0
15.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,15.0,0.0,1.0,0.0,0.0
15.0,0.0,15.0,0.0,0.53501,0.0,0.46499
0.0,10.0,0.0,0.8335,0.00992,0.15658,0.0
15.0,10.0,0.0,0.0,0.81629,0.18371,0.0
0.0,10.0,15.0,0.0,0.00088,0.99912,0.0
15.0,10.0,15.0,0.0,0.00659,0.10714,0.88626
0.0,15.0,0.0,0.77485,0.0,0.22515,0.0
15.0,15.0,0.0,0.0,0.0,1.0,0.0
0.0,15.0,15.0,0.0,0.0,1.0,0.0
15.0,15.0,15.0,0.0,0.0,0.05312,0.94688
0.0,5.0,0.0,0.71139,0.20806,0.08054,0.0
15.0,5.0,0.0,0.0,0.99451,0.00549,0.0
0.0,5.0,15.0,0.0,0.03454,0.96546,0.0
15.0,5.0,15.0,0.0,0.23894,0.09521,0.66584
