fuzzy_criticality_model,naive_bayes_Condition_Score,naive_bayes_condition_model_nb_pred,fuzzy_Criticality_SCR,FID,fuzzy_condition_model,fuzzy_Condition_Score
0,396.0,,0,3734,400,400
210,176.0,,210,4026,200,200
180,220.0,,180,3724,240,240
30,0.0,,30,4024,40,40
120,132.0,,120,4025,160,160
210,176.0,,210,4022,200,200
210,176.0,,210,4023,200,200
210,132.0,,210,4020,160,160
180,220.0,,180,3725,240,240
0,308.0,,0,3798,320,320
210,176.0,,210,4028,200,200
210,132.0,,210,4029,160,160
30,88.0,,30,344,120,120
30,88.0,,30,345,120,120
30,88.0,,30,346,120,120
30,88.0,,30,347,120,120
30,264.0,,30,340,280,280
30,176.0,,30,341,200,200
30,132.0,,30,342,160,160
30,88.0,,30,343,120,120
180,352.0,,180,2918,360,360
120,220.0,,120,3996,240,240
30,132.0,,30,3995,160,160
180,220.0,,180,3994,240,240
30,88.0,,30,348,120,120
30,88.0,,30,349,120,120
120,220.0,,120,3991,240,240
210,176.0,,210,3990,200,200
210,88.0,,210,3530,120,120
30,308.0,,30,3002,320,320
180,264.0,,180,2919,280,280
210,220.0,,210,1653,240,240
180,88.0,,180,3556,120,120
210,88.0,,210,2318,120,120
210,88.0,,210,2319,120,120
30,132.0,,30,2316,160,160
210,88.0,,210,2317,120,120
30,88.0,,30,2314,120,120
30,88.0,,30,2315,120,120
30,132.0,,30,2312,160,160
30,176.0,,30,2313,200,200
30,132.0,,30,2310,160,160
30,88.0,,30,2311,120,120
120,132.0,,120,298,160,160
90,88.0,,90,299,120,120
120,88.0,,120,296,120,120
120,88.0,,120,297,120,120
120,88.0,,120,294,120,120
120,132.0,,120,295,160,160
120,132.0,,120,292,160,160
120,88.0,,120,293,120,120
120,176.0,,120,290,200,200
120,88.0,,120,291,120,120
180,220.0,,180,3773,240,240
180,264.0,,180,3772,280,280
180,308.0,,180,3771,320,320
180,264.0,,180,3770,280,280
180,352.0,,180,3777,360,360
180,220.0,,180,3776,240,240
180,352.0,,180,3775,360,360
180,308.0,,180,3774,320,320
30,220.0,,30,2147,240,240
180,176.0,,180,3779,200,200
180,352.0,,180,3778,360,360
30,132.0,,30,270,160,160
30,176.0,,30,271,200,200
30,88.0,,30,272,120,120
30,88.0,,30,273,120,120
30,352.0,,30,274,360,360
30,308.0,,30,275,320,320
120,132.0,,120,276,160,160
120,88.0,,120,277,120,120
120,132.0,,120,278,160,160
120,88.0,,120,279,120,120
120,220.0,,120,3465,240,240
30,132.0,,30,3211,160,160
270,176.0,,270,1780,200,200
30,132.0,,30,2146,160,160
30,88.0,,30,2268,120,120
120,0.0,,120,2269,40,40
120,176.0,,120,2262,200,200
30,88.0,,30,2263,120,120
210,176.0,,210,2260,200,200
120,220.0,,120,2261,240,240
30,88.0,,30,2266,120,120
30,88.0,,30,2267,120,120
30,88.0,,30,2264,120,120
30,88.0,,30,2265,120,120
30,220.0,,30,2442,240,240
30,308.0,,30,2443,320,320
120,88.0,,120,2440,120,120
210,132.0,,210,2441,160,160
270,132.0,,270,1781,160,160
120,264.0,,120,2447,280,280
210,132.0,,210,2444,160,160
210,132.0,,210,2445,160,160
30,132.0,,30,2448,160,160
30,132.0,,30,2449,160,160
210,176.0,,210,2189,200,200
30,88.0,,30,108,120,120
30,264.0,,30,109,280,280
120,264.0,,120,102,280,280
30,132.0,,30,103,160,160
30,176.0,,30,100,200,200
30,132.0,,30,101,160,160
90,88.0,,90,106,120,120
90,88.0,,90,107,120,120
30,132.0,,30,104,160,160
90,88.0,,90,105,120,120
210,220.0,,210,2046,240,240
210,176.0,,210,2047,200,200
30,176.0,,30,2044,200,200
30,308.0,,30,2045,320,320
210,264.0,,210,2042,280,280
210,352.0,,210,2043,360,360
210,264.0,,210,2040,280,280
210,308.0,,210,2041,320,320
120,176.0,,120,3198,200,200
210,220.0,,210,2048,240,240
30,264.0,,30,2049,280,280
120,176.0,,120,3150,200,200
180,132.0,,180,3597,160,160
30,132.0,,30,3155,160,160
30,132.0,,30,3154,160,160
120,176.0,,120,3238,200,200
210,220.0,,210,1372,240,240
270,176.0,,270,2737,200,200
30,176.0,,30,2038,200,200
180,264.0,,180,2836,280,280
120,308.0,,120,3159,320,320
210,220.0,,210,1001,240,240
210,0.0,,210,3519,40,40
30,176.0,,30,3158,200,200
120,396.0,,120,3513,400,400
120,132.0,,120,3512,160,160
120,132.0,,120,3511,160,160
30,352.0,,30,3446,360,360
210,264.0,,210,1210,280,280
30,176.0,,30,3239,200,200
120,352.0,,120,3515,360,360
210,176.0,,210,1375,200,200
180,132.0,,180,2688,160,160
180,132.0,,180,2689,160,160
180,308.0,,180,2684,320,320
180,264.0,,180,2685,280,280
180,220.0,,180,2686,240,240
180,220.0,,180,2687,240,240
270,220.0,,270,2680,240,240
210,176.0,,210,1655,200,200
180,176.0,,180,2682,200,200
180,220.0,,180,2683,240,240
120,88.0,,120,3391,120,120
120,220.0,,120,3999,240,240
30,88.0,,30,3390,120,120
30,396.0,,30,3441,400,400
120,220.0,,120,3998,240,240
210,132.0,,210,1374,160,160
120,132.0,,120,99,160,160
30,132.0,,30,98,160,160
30,220.0,,30,3019,240,240
30,176.0,,30,91,200,200
30,88.0,,30,90,120,120
120,132.0,,120,93,160,160
120,132.0,,120,92,160,160
120,220.0,,120,95,240,240
120,220.0,,120,94,240,240
120,176.0,,120,97,200,200
120,220.0,,120,96,240,240
210,220.0,,210,1623,240,240
210,220.0,,210,1622,240,240
210,176.0,,210,1621,200,200
210,176.0,,210,1620,200,200
210,220.0,,210,1627,240,240
210,132.0,,210,1626,160,160
210,176.0,,210,1625,200,200
210,88.0,,210,1624,120,120
210,88.0,,210,1999,120,120
180,396.0,,180,1998,400,400
210,220.0,,210,1629,240,240
210,264.0,,210,1377,280,280
30,88.0,,30,3209,120,120
30,88.0,,30,3208,120,120
30,264.0,,30,3013,280,280
240,176.0,,240,2860,200,200
240,176.0,,240,2861,200,200
240,176.0,,240,2862,200,200
240,176.0,,240,2863,200,200
30,176.0,,30,559,200,200
30,132.0,,30,558,160,160
240,264.0,,240,2866,280,280
180,308.0,,180,2867,320,320
30,132.0,,30,555,160,160
30,132.0,,30,554,160,160
30,132.0,,30,557,160,160
30,132.0,,30,556,160,160
120,132.0,,120,551,160,160
120,220.0,,120,550,240,240
120,308.0,,120,553,320,320
120,88.0,,120,552,120,120
270,176.0,,270,2744,200,200
210,132.0,,210,3538,160,160
210,88.0,,210,1439,120,120
210,220.0,,210,1199,240,240
210,220.0,,210,1198,240,240
30,176.0,,30,3348,200,200
210,176.0,,210,3349,200,200
210,264.0,,210,1191,280,280
210,176.0,,210,1190,200,200
210,176.0,,210,1193,200,200
210,220.0,,210,1192,240,240
210,264.0,,210,1195,280,280
210,308.0,,210,1194,320,320
210,264.0,,210,1197,280,280
210,88.0,,210,1196,120,120
30,220.0,,30,1759,240,240
30,220.0,,30,1758,240,240
30,264.0,,30,1757,280,280
30,220.0,,30,1756,240,240
30,220.0,,30,1755,240,240
30,220.0,,30,1754,240,240
30,264.0,,30,1753,280,280
30,220.0,,30,1752,240,240
30,220.0,,30,1751,240,240
30,176.0,,30,1750,200,200
120,176.0,,120,1177,200,200
120,176.0,,120,1176,200,200
30,132.0,,30,1175,160,160
30,132.0,,30,1174,160,160
30,176.0,,30,1173,200,200
30,220.0,,30,1172,240,240
30,132.0,,30,1171,160,160
30,176.0,,30,1170,200,200
30,132.0,,30,1179,160,160
30,132.0,,30,1178,160,160
210,220.0,,210,511,240,240
240,176.0,,240,2964,200,200
120,176.0,,120,510,200,200
120,220.0,,120,3440,240,240
210,132.0,,210,513,160,160
210,176.0,,210,1285,200,200
210,352.0,,210,1284,360,360
210,176.0,,210,1287,200,200
210,176.0,,210,512,200,200
210,264.0,,210,1281,280,280
210,264.0,,210,1280,280,280
210,264.0,,210,1283,280,280
210,176.0,,210,1282,200,200
30,440.0,,30,1003,480,480
