ACCESS_SCR,BRKS_FVYRS_SCR,BRK_SCR,DIA_SCR,ENVMT_SCR,HEAD_LOSS_SCR,MI_SCR,QUALIT_SCR,RSL_SCR,STANDARD_CONFOR,out=1.0,out=2.0,out=3.0,out=4.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99994,6e-05,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99982,0.00018,0.0,0.0
0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99983,0.00017,0.0,0.0
15.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99947,0.00053,0.0,0.0
0.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99995,5e-05,0.0,0.0
15.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99983,0.00017,0.0,0.0
0.0,0.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.99985,0.00015,0.0,0.0
15.0,0.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.99951,0.00049,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99969,0.00031,0.0,0.0
15.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99902,0.00098,0.0,0.0
0.0,10.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,10.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99911,0.00089,0.0,0.0
15.0,10.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99718,0.00282,0.0,0.0
0.0,10.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99971,0.00029,0.0,0.0
15.0,10.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99909,0.00091,0.0,0.0
0.0,10.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,10.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.99918,0.00082,0.0,0.0
15.0,10.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.99738,0.00262,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,15.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99976,0.00024,0.0,0.0
15.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99923,0.00077,0.0,0.0
0.0,5.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,5.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.9993,0.0007,0.0,0.0
15.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99779,0.00221,0.0,0.0
0.0,5.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99978,0.00022,0.0,0.0
15.0,5.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99929,0.00071,0.0,0.0
0.0,5.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,5.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.99935,0.00065,0.0,0.0
15.0,5.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.99795,0.00205,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.9996,0.0004,0.0,0.0
15.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99875,0.00125,0.0,0.0
0.0,0.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,0.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99886,0.00114,0.0,0.0
15.0,0.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.9964,0.0036,0.0,0.0
0.0,0.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99963,0.00037,0.0,0.0
15.0,0.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99884,0.00116,0.0,0.0
0.0,0.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,0.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.99895,0.00105,0.0,0.0
15.0,0.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.99666,0.00334,0.0,0.0
0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99789,0.00211,0.0,0.0
15.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99332,0.00668,0.0,0.0
0.0,10.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,10.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,10.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99396,0.00604,0.0,0.0
15.0,10.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.98104,0.01896,0.0,0.0
0.0,10.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99804,0.00196,0.0,0.0
15.0,10.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99381,0.00619,0.0,0.0
0.0,10.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,10.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,10.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.9944,0.0056,0.0,0.0
15.0,10.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.9824,0.0176,0.0,0.0
0.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,15.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,15.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,15.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99835,0.00165,0.0,0.0
15.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99476,0.00524,0.0,0.0
0.0,5.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,5.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,5.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99526,0.00474,0.0,0.0
15.0,5.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.98508,0.01492,0.0,0.0
0.0,5.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99847,0.00153,0.0,0.0
15.0,5.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99514,0.00486,0.0,0.0
0.0,5.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,5.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,5.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.9956,0.0044,0.0,0.0
15.0,5.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.98615,0.01385,0.0,0.0
0.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,15.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,15.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,15.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,15.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,15.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,15.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,15.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,15.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,15.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,15.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,15.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,15.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,15.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,15.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,15.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,15.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,15.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,15.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,15.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,15.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,15.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,15.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,15.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
