condition_model,Criticality_SCR,Condition_Score,criticality_model
280,30,280,30
320,90,320,90
160,90,160,90
200,120,200,120
200,30,200,30
200,30,200,30
200,30,200,30
200,30,200,30
320,210,320,210
200,210,200,210
360,210,360,210
200,210,200,210
400,210,400,210
200,210,200,210
360,120,360,120
320,120,320,120
240,120,240,120
320,120,320,120
160,210,160,210
200,30,200,30
360,210,360,210
200,120,200,120
240,120,240,120
200,120,200,120
200,120,200,120
200,30,200,30
240,30,240,30
240,30,240,30
240,30,240,30
200,180,200,180
240,180,240,180
280,180,280,180
240,180,240,180
280,180,280,180
240,180,240,180
320,210,320,210
240,210,240,210
320,210,320,210
240,210,240,210
360,210,360,210
320,120,320,120
320,180,320,180
320,180,320,180
160,30,160,30
320,30,320,30
200,30,200,30
200,30,200,30
240,30,240,30
320,210,320,210
160,210,160,210
160,210,160,210
200,210,200,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
200,210,200,210
160,210,160,210
320,210,320,210
320,210,320,210
120,210,120,210
160,210,160,210
200,210,200,210
160,30,160,30
120,30,120,30
240,210,240,210
240,210,240,210
280,210,280,210
200,210,200,210
240,210,240,210
160,210,160,210
240,30,240,30
160,120,160,120
320,120,320,120
160,120,160,120
160,120,160,120
200,120,200,120
240,30,240,30
240,30,240,30
280,30,280,30
240,30,240,30
120,90,120,90
120,30,120,30
160,30,160,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
200,30,200,30
160,120,160,120
160,120,160,120
240,120,240,120
240,120,240,120
240,120,240,120
200,120,200,120
160,30,160,30
160,120,160,120
200,30,200,30
160,30,160,30
280,120,280,120
160,30,160,30
160,30,160,30
120,90,120,90
120,90,120,90
120,90,120,90
120,30,120,30
280,30,280,30
160,30,160,30
160,120,160,120
200,120,200,120
160,30,160,30
160,30,160,30
360,90,360,90
160,30,160,30
160,30,160,30
160,30,160,30
200,30,200,30
160,30,160,30
120,30,120,30
200,30,200,30
360,30,360,30
120,90,120,90
120,90,120,90
120,90,120,90
120,90,120,90
120,90,120,90
120,90,120,90
240,210,240,210
160,210,160,210
280,210,280,210
160,120,160,120
160,120,160,120
160,120,160,120
160,120,160,120
160,30,160,30
160,30,160,30
240,30,240,30
160,30,160,30
280,30,280,30
160,30,160,30
160,30,160,30
160,30,160,30
200,30,200,30
160,30,160,30
240,30,240,30
160,30,160,30
240,30,240,30
200,30,200,30
280,30,280,30
120,30,120,30
160,30,160,30
160,30,160,30
320,210,320,210
200,210,200,210
160,210,160,210
280,210,280,210
240,210,240,210
160,210,160,210
240,210,240,210
160,210,160,210
240,210,240,210
280,210,280,210
160,210,160,210
320,210,320,210
280,210,280,210
280,210,280,210
160,210,160,210
160,210,160,210
360,210,360,210
320,210,320,210
160,210,160,210
160,210,160,210
80,210,80,210
240,210,240,210
160,210,160,210
240,210,240,210
240,210,240,210
160,210,160,210
200,30,200,30
160,30,160,30
160,30,160,30
160,210,160,210
160,210,160,210
200,210,200,210
160,210,160,210
200,210,200,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
200,210,200,210
240,210,240,210
160,210,160,210
160,210,160,210
120,210,120,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
200,210,200,210
160,210,160,210
160,210,160,210
160,210,160,210
160,30,160,30
160,30,160,30
160,30,160,30
200,30,200,30
240,120,240,120
160,120,160,120
240,120,240,120
160,30,160,30
160,30,160,30
160,30,160,30
160,30,160,30
240,30,240,30
240,120,240,120
200,30,200,30
320,30,320,30
160,30,160,30
200,30,200,30
200,210,200,210
200,210,200,210
160,210,160,210
240,30,240,30
200,120,200,120
160,120,160,120
160,30,160,30
240,30,240,30
320,30,320,30
240,120,240,120
200,120,200,120
240,120,240,120
200,120,200,120
160,30,160,30
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
160,210,160,210
240,210,240,210
160,210,160,210
160,30,160,30
280,210,280,210
200,210,200,210
120,30,120,30
160,120,160,120
240,210,240,210
160,210,160,210
200,210,200,210
160,210,160,210
200,210,200,210
240,210,240,210
240,210,240,210
160,210,160,210
240,210,240,210
200,210,200,210
160,210,160,210
120,90,120,90
160,210,160,210
120,30,120,30
120,30,120,30
160,30,160,30
200,30,200,30
120,30,120,30
120,30,120,30
360,30,360,30
320,30,320,30
160,120,160,120
120,120,120,120
160,120,160,120
120,120,120,120
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
120,120,120,120
120,120,120,120
120,120,120,120
160,120,160,120
200,120,200,120
120,120,120,120
200,120,200,120
120,120,120,120
160,120,160,120
120,120,120,120
120,120,120,120
160,120,160,120
120,120,120,120
120,120,120,120
160,120,160,120
120,90,120,90
120,90,120,90
120,90,120,90
120,90,120,90
120,90,120,90
120,90,120,90
200,210,200,210
120,30,120,30
160,30,160,30
120,30,120,30
120,30,120,30
120,30,120,30
240,120,240,120
160,120,160,120
200,30,200,30
200,120,200,120
160,30,160,30
120,30,120,30
120,30,120,30
200,30,200,30
200,30,200,30
280,30,280,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
120,120,120,120
200,30,200,30
120,30,120,30
320,120,320,120
240,30,240,30
120,30,120,30
120,30,120,30
160,30,160,30
160,30,160,30
120,30,120,30
200,30,200,30
160,30,160,30
120,30,120,30
240,30,240,30
200,30,200,30
280,30,280,30
200,30,200,30
160,30,160,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
120,30,120,30
