FID,TARGET_Performance_Level,performance_pred,TARGET_Criticality_Level,criticality_pred,condition_pred,TARGET_Condition_level,TARGET_MITIGATION_Level_PAN,mitigation_pred
11542,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
11543,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
11540,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
11541,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
11546,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
11547,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
11544,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
11545,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
11548,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
11549,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
5988,3.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0
5989,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
19399,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
19398,5.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0
19397,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
19396,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
19395,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
5981,2.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0
5986,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
5987,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
5984,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0
5985,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
16643,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
19973,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
19972,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
19971,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
19970,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
19977,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
275,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
276,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0
277,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
278,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
16704,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
16707,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
19978,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
16701,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
16700,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
16703,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
16702,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
12019,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
12018,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
12015,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
12014,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
12017,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
12016,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
12011,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
12010,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
12013,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
12012,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
17258,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
17259,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
17250,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
17251,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
17252,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0
17253,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
17254,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
17255,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
17256,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
17257,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
10709,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
10708,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
9258,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
9259,3.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0
