ACCESS_SCR,BRKS_FVYRS_SCR,BRK_SCR,DIA_SCR,ENVMT_SCR,HEAD_LOSS_SCR,MI_SCR,QUALIT_SCR,RSL_SCR,STANDARD_CONFOR,out=1.0,out=2.0,out=3.0,out=4.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.9887474964590601,5.739516361326512e-05,3.313552918323412e-07,0.0
15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.981074883967545,0.00018163488680452387,1.1191664661487234e-07,0.0
0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.006520976504488915,0.0,8.474374510727698e-08,0.0
15.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0038748279709131224,0.0,1.7140814733429965e-08,0.0
0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.9219013672139262,0.0001526557221940976,3.2311785658009892e-06,0.0
15.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.8747446282985315,0.0004619735615308811,1.0436185780392042e-06,0.0
0.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.9954995270261964,5.5103877800678246e-05,1.350940308788002e-06,0.0
15.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.992349288473937,0.0001751914372229584,4.583990215710231e-07,0.0
0.0,0.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.01637489334476297,0.0,8.617079223602904e-07,0.0
15.0,0.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.009769448498029404,0.0,1.7499904181089355e-07,0.0
0.0,0.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.9675795572393127,0.00015278000368913457,1.3732505213085912e-05,0.0
15.0,0.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.946291348688471,0.0004765537706954987,4.5716394874772355e-06,0.0
0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.03988636107902037,1.056310656975519e-05,2.9514425499070425e-07,0.0
15.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.02402810333994194,2.0295228461632806e-05,6.052202155385385e-08,0.0
0.0,10.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,3.087374901569174e-06,0.0,8.859022211237675e-10,0.0
15.0,10.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.8296771476005517e-06,0.0,1.787124885203636e-10,0.0
0.0,10.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.005532660346730182,4.179650636828323e-06,4.281657393655997e-07,0.0
15.0,10.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0032862229079452733,7.917903416746396e-06,8.656831011605855e-08,0.0
0.0,10.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.09532000041653449,2.4071462835626315e-05,2.856146904403237e-06,0.0
15.0,10.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.05877056978338994,4.733534617613532e-05,5.994326910932507e-07,0.0
0.0,10.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,7.83037552426206e-06,0.0,9.098412015140286e-09,0.0
15.0,10.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,4.640540066137146e-06,0.0,1.8354203955968568e-09,0.0
