@relation untitled
@attribute rl real
@attribute tb real
@attribute rb real
@attribute mi real
@attribute cl {1, 2, 3, 4, 5, 6, 7}
@data
43.0,1.0,0.0,0.0329532497,2
31.0,1.0,0.0,0.0406490179,2
42.0,1.0,0.0,0.0193842645,2
50.0,1.0,0.0,0.1373737374,2
29.0,1.0,0.0,0.0164766249,3
29.0,1.0,0.0,0.0164766249,3
29.0,1.0,0.0,0.0269670051,3
44.0,3.0,2.0,0.1379163108,3
53.0,1.0,0.0,0.0620296465,2
44.0,1.0,0.0,0.0411622276,2
42.0,1.0,0.0,0.0135689852,2
68.0,1.0,0.0,0.1067036721,2
28.0,4.0,3.0,8.4368488471,5
31.0,1.0,0.0,0.0135689852,2
29.0,1.0,0.0,0.0631511529,4
46.0,1.0,0.0,0.0827497865,3
33.0,1.0,0.0,0.0019384265,2
44.0,1.0,0.0,0.0145381984,2
28.0,1.0,0.0,0.0106613455,3
29.0,6.0,5.0,0.1067036721,5
38.0,1.0,0.0,0.0193842645,2
69.0,1.0,0.0,0.0048460661,1
27.0,1.0,0.0,0.0339224629,3
38.0,1.0,0.0,0.03004561,2
35.0,8.0,7.0,0.0992385787,6
46.0,1.0,0.0,0.019513315,2
33.0,5.0,4.0,0.0239538856,5
15.0,1.0,0.0,0.017151572,2
35.0,1.0,0.0,0.0019384265,2
33.0,1.0,0.0,7.0064424173,3
41.0,1.0,0.0,0.0312213039,2
24.0,1.0,0.0,0.0251995439,3
33.0,1.0,0.0,7.1741163056,3
33.0,1.0,0.0,0.2691307107,3
41.0,1.0,0.0,0.023415978,2
45.0,1.0,0.0,8.5468319559,3
29.0,15.0,14.0,0.0054637282,6
34.0,1.0,0.0,7.0723489168,3
53.0,1.0,0.0,0.027318641,2
