FID,Shape *,OBJECTID,HANSEN_COM,INFRA_STAT,MATERIAL,MATERIAL_CD,FRM_NODE,TO_NODE,INSTALL_DA,DIAMETER,WPZ,LEN_M,INST_YR,ST_CLASS,Source,Shape_Leng,TRANS,TotBrks,TotBrks_Lenght,BRK_SCR,BRL_SCR_TARGET,BRK_Level,BRKS_FVYRS,BRKS_FV_YRS_L,BRKS_FVYRS_SCR,BRKS_FVYRS_SCR_TARGET,BRKS_FVYRS_Level,Age,Mat_Fact,TARGET_Mat_Fact,RSL,TARGET_RSL,RSL_SCR,TARGET_RSL_SCR,RSL_Level,Operation_Cost,Maintenance_Cost,REPLC_COST,MI,MI_SCR,MI_Level,Condition_Score,TARGET_Condition_Score,Condition_Score_Level,TARGET_Condition_Score_Level,Condition_level,TARGET_Condition_level,,QUALIT_SCR,TARGET_QUALIT_SCR,DRAINAGE,SOIL,WTR,ESA,WL,FLP,HWY,RWY,HPU,HEU,Hospital,Med_Centre,LT_CARE,School,HDL,Crit_Rests,CritPres2D,CritConsSc,OPSC,STANDARD_CONFOR,f,R,HL,HEAD_LOSS_SCR,Performanc_SCR,TARGET_Performanc_SCR,Performance_Score_Level,TARGET_Performance_Score_Level,Performance_Level,TARGET_Performance_Level,,ST_NAME,ST_TYPE,ST_DIR,CITY,TM,Hosp_Serv,Airp_Serv,New_Seg,Active_Ope,Tran_main,DIA_SCR,TARGET_DIA_SCR,ENVMT_SCR,TARGET_ENVMT_SCR,ACCESS_SCR,TARGET_ACCESS_SCR,Criticality_SCR,TARGET_Criticality_SCR,Criticality_Score_Level,TARGET_Criticality_Score_Level,Criticality_Level,TARGET_Criticality_Level,,PAN,TARGET_PAN,MITIGATION_Score_Level,TARGET_MITIGATION_Score_Level,MITIGATION_Level_PAN,TARGET_MITIGATION_Level_PAN,Model_Mitigation,TARGET_Model_ Mitigation,RiskThresh
0,Polyline,2,515614,A,DI,DI,593033,6525624,28/07/1986,600,4,274.115137,1978,ARTERIAL,TRSUB-TRANSMISSION MAIN,274.115137,0,37,0.1349797768,5,7.35,Medium,27,0.098498756,5,10.89,Medium,39,0.5,0.26,19.5,28.86,10,10,High,95.94029795,137.0575685,2131,0.109337338,15,High,280,384.836,Medium,Very High,3,5,,0,0,W,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),39.6,2 (Low),2 (Low),0,0.0294614908,8.60E-15,0.0077388889,15,150,105,Moderately Low,Moderately Low,2,2,,WINSTON CHURCHILL,BLVD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,73.5,Very Low,Moderately Low,1,2,,460,563.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
1,Polyline,101,513566,A,DI,DI,595049,595056,01-01-1987,300,3,116.360658,2013,LOCAL,TRSUB-TRANSMISSION MAIN,116.360658,0,0,0,0,6,Very High,0,0,0,6,Medium,4,0.5,0.26,35.5,2.96,5,15,Medium,40.7262303,58.180329,1171,0.08446333,15,High,160,373.8,Moderately Low,Moderately High,2,4,,0,0,W,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),39.1,2 (Low),2 (Low),15,0.0366451703,1.45E-13,0.1307566434,0,150,105,Moderately Low,Moderately Low,2,2,,OLD PINE,ST, ,MISSISSAUGA,No,0,0, ,YES,NO,0,7.5,15,0,0,0,90,52.5,Moderately Low,Very Low,2,1,,400,531.3,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
2,Polyline,101,513566,A,DI,DI,595049,595056,01-01-1987,300,3,116.360658,2013,LOCAL,TRSUB-TRANSMISSION MAIN,116.360658,0,23,0.1976613092,5,7.35,Low,2,0.0171879399,5,10.89,Low,4,0.5,0.26,35.5,2.96,5,15,Medium,40.7262303,58.180329,1171,0.08446333,15,High,240,429.336,Medium,Very High,3,5,,0,0,W,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),39.1,2 (Low),2 (Low),15,0.0366451703,1.45E-13,0.1307566434,0,150,105,Moderately Low,Moderately Low,2,2,,OLD PINE,ST, ,MISSISSAUGA,No,0,0, ,YES,NO,0,7.5,15,0,0,0,90,52.5,Moderately Low,Very Low,2,1,,480,586.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
3,Polyline,169,526191,A,DI,DI,595043,595057,01-01-1987,400,3,1112.340976,1987,LOCAL,TRSUB-TRANSMISSION MAIN,1112.340976,0,8,0.0071920393,5,7.35,Low,3,0.0026970147,5,10.89,Low,30,0.5,0.26,22.5,22.2,10,10,High,389.3193416,556.170488,1576,0.599930095,15,High,280,384.836,Medium,Very High,3,5,,0,0,W,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),37.5,2 (Low),2 (Low),15,0.0333752697,3.00E-13,0.2701530576,0,150,105,Moderately Low,Moderately Low,2,2,,CHURCH,ST, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,550,542.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
4,Polyline,105,515672,A,DI,DI,608412,594287,01-01-1975,400,4,1385.367443,1975,ARTERIAL,TRSUB-TRANSMISSION MAIN,1385.367443,0,15,0.0108274524,5,7.35,Low,0,0,0,6,Low,42,0.5,0.26,16.5,31.08,10,5,High,484.8786051,692.6837215,1576,0.747184217,15,High,240,296.815,Medium,Moderately High,3,4,,0,0,P,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),39.5,2 (Low),2 (Low),0,0.0333752697,3.74E-13,0.3364627023,0,0,0,Very Low,Very Low,1,1,,BRITANNIA,RD,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,270,349.315,DO NOTHING,RELINE - REHAB,1,2,,,High
5,Polyline,105,515672,A,DI,DI,608412,594287,01-01-1975,400,4,1385.367443,1975,ARTERIAL,TRSUB-TRANSMISSION MAIN,1385.367443,0,8,0.0057746413,5,7.35,Low,6,0.0043309809,5,10.89,Low,42,0.5,0.26,16.5,31.08,10,5,High,484.8786051,692.6837215,1576,0.747184217,15,High,280,340.336,Medium,Moderately High,3,4,,0,0,P,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),39.5,2 (Low),2 (Low),0,0.0333752697,3.74E-13,0.3364627023,0,0,0,Very Low,Very Low,1,1,,BRITANNIA,RD,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,310,392.836,RELINE - REHAB,RELINE - REHAB,2,2,,,High
6,Polyline,105,515672,A,DI,DI,608412,594287,01-01-1975,400,4,1385.367443,1975,ARTERIAL,TRSUB-TRANSMISSION MAIN,1385.367443,0,5,0.0036091508,5,7.35,Low,1,0.0007218302,5,10.89,Low,42,0.5,0.26,16.5,31.08,10,5,High,484.8786051,692.6837215,1576,0.747184217,15,High,280,340.336,Medium,Moderately High,3,4,,0,0,P,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),39.5,2 (Low),2 (Low),0,0.0333752697,3.74E-13,0.3364627023,0,0,0,Very Low,Very Low,1,1,,BRITANNIA,RD,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,310,392.836,RELINE - REHAB,RELINE - REHAB,2,2,,,High
7,Polyline,110,516157,A,DIHY,DI,PC600561,600568,12-01-1992,400,5,297.137373,1992,LOCAL,TRSUB-TRANSMISSION MAIN,297.137373,0,14,0.0471162542,5,7.35,Low,12,0.0403853607,5,10.89,Low,25,0.5,0.26,25,18.5,10,10,High,103.9980806,148.5686865,1576,0.160258101,15,High,280,384.836,Medium,Very High,3,5,,0,0,I,C,0,0,0,0,0,0,0,0,0,0,0,0,0,Pass,Pass,1 (Negligible),1 (Negligible),0,0.0333752697,8.02E-14,0.0721654345,0,0,0,Very Low,Very Low,1,1,,EDWARDS,BLVD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,310,437.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
8,Polyline,129,517698,A,DI,DI,602385,602548,01-01-1979,400,2,242.29688,1979,LOCAL,TRSUB-TRANSMISSION MAIN,242.29688,0,5,0.0206358415,5,7.35,Very High,0,0,0,6,Low,38,0.5,0.26,18.5,28.12,10,10,High,84.803908,121.14844,1576,0.130680424,15,High,240,341.315,Medium,Moderately High,3,4,,0,0,I,C,1,1,0,1,1,0,0,0,0,0,0,0,0,Fail (Pressure),38.4,2 (Low),2 (Low),15,0.0333752697,6.54E-14,0.0588463829,0,150,105,Moderately Low,Moderately Low,2,2,,SOUTH SHERIDAN,WAY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,624.815,RELINE - REHAB,RELINE - REHAB,2,2,,,High
9,Polyline,128,517670,A,DI,DI,602389,602509,08-01-1973,400,2,993.982295,1976,LOCAL,TRSUB-TRANSMISSION MAIN,993.982295,0,7,0.007042379,5,7.35,Low,6,0.0060363248,5,10.89,Low,41,0.5,0.26,17,30.34,10,5,High,347.8938033,496.9911475,1576,0.536094512,15,High,280,340.336,Medium,Moderately High,3,4,,0,0,I,C,0,1,0,0,1,0,0,0,0,0,0,0,0,Pass,Pass,1 (Negligible),1 (Negligible),15,0.0333752697,2.68E-13,0.241407412,0,150,105,Moderately Low,Moderately Low,2,2,,BENEDET,DR, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,640,623.836,RELINE - REHAB,RELINE - REHAB,2,2,,,High
