Row,Condition,performance,Criticality,Mitigation
1,1,1,1,1
2,1,1,2,1
3,1,1,3,1
4,1,1,4,1
5,1,1,5,1
6,1,2,1,1
7,1,3,1,1
8,1,4,1,1
9,1,5,1,2
10,1,2,2,1
11,1,3,2,1
12,1,4,2,1
13,1,5,2,2
14,1,2,3,1
15,1,3,3,1
16,1,4,3,2
17,1,5,3,2
18,1,2,4,1
19,1,3,4,1
20,1,4,4,2
21,1,5,4,2
22,1,2,5,1
23,1,3,5,1
24,1,4,5,2
25,1,5,5,2
26,2,1,1,1
27,2,1,2,1
28,2,1,3,1
29,2,1,4,1
30,2,1,5,3
31,2,2,1,1
32,2,2,2,1
33,2,2,3,1
34,2,2,4,3
35,2,2,5,3
36,2,3,1,1
37,2,3,2,1
38,2,3,3,1
39,2,3,4,3
40,2,3,5,3
41,2,4,1,1
42,2,4,2,1
