Duration_1,CritPres2D,Tran_main,WL,GRPCODE,GDO_GID,InsigSum1A,WTR,criticality_model,Ex_Hi_2031,Hosp_Serv,INFRA_STAT,Active_Ope,HANSEN_COM,MI_SCR,STANDARD_CONFOR,CRITICAL_SCR,Remove_Seg,RiskThresh,FID,TRANS,InsigSum,BRKS_FVYRS,C06_Cost,NPA,LowSum1A,LowSum,MAXRISK,DIAMETER,Dia_x_lenO,FLP,Hospital,PCU,Priority,Source,TOT_RES,HL,ST_CLASS,HDL,MATERIAL,Dia_x_len,SumCost,Demand_Met,C08_Cost,CAM_CATEG1,HEAD_LOSS_SCR,Maintenance_Cost,School,C07_Cost,Age,Med_Centre,OPSC_TEXT,DNMMLD,Shape *,OBJECTID_1,MI,DSC_TEXT,Shape_Le_1,Crit_Rests,CritConsSc,PCScore,FRM_NODE,MedSum,Pres_Zone,HighSum,RSL_SCR,WPZ,SOGR_HANSN,INST_YR,MAFIP,WM_WATERMA,DCSDesc,New_Seg,PCSDesc,Mat_Fact,HWY,ENVMT_SCR,TotBrks,HEU,Group_Mat,OBJECTID,DNM, Normalized Quality - test result Score,Operation_Cost,TotBrks_Lenght,R,QUALIT_SCR,Shape_Leng,GISIDForm,WM_WATERM1,A2031,WM_WATERM2,DIA_SCR,OID_,SEVERITY,f,DCS,TOTCNSQS,RWY,TOT_LV,SOIL,INSTALL_DA,MATERIAL_CD,ST_DIR,MaxTOTRISK,ACCESS_SCR,DURATION,LT_CARE,Airp_Serv,BRKS_FVYRS_SCR,REPLC_COST,TM,BRKS_FV_YRS_L,DCScore,TO_NODE,LEN_M,INSTDATE,DSC_NUM,BRK_SCR,HPU,SCORE,ExtSum,GISID,ESA,YR_INSTALL,Shape_Le_2,ST_NAME,RSL,CITY,ST_TYPE,OPSC,Adj_Length,OPSC_NUM,condition_model,DRAINAGE,Grp_C_Risk
0,Inactive/Closed,NO,0,G37,3858,1880000,1,3, ,0, ,NO,0,15,15,428.3999634,NO,Low,3823,0,0,8,175000,0,0,455000,78.75,400, ,1,0,360,0,2012_COMP_Linear,0,0.2262669454,ARTERIAL,0,PVC, ,455000,0,5000,2012_COMP_Linear,0,465.821111,0,275000,5,0,Inactive/Closed,0,Polyline,3539,0.5024720106,Inactive/Closed,931.642222,Inactive/Closed,Inactive/Closed,0, ,0,Inactive,0,15,6, ,2011,0, ,Inactive/Closed, ,Inactive/Closed,0.1,0,15,170,0,PVC,3547,Inactive,0,326.0747777,0.1824734818,2.51407717120011E-13,0,931.642222,3566,0,No, ,5,1425,0,0.0333752697,Inactive/Closed,21,0,20.4,CL,1/0/1900 0:00,PVC, ,428.399963,15,0,0,0,1,1576,No,0.0085869874,0, ,931.642222,1/0/1900 0:00,0,10,0,428.3999634,0,3566,0,2011,931.642222,UNKNOWN,1,BRAMPTON, ,Inactive/Closed, ,0,7,I,G37 428.399963378999
48,n/a - flow failure,NO,0,M48,34959,332500,0,4, ,0,A,YES,812545,15,0,614.4000244,NO,Moderate,2434,0,0,49,2500,361.516389,0,0,96,400, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,42247200,0.1972285684, ,0,CPP, ,282500,126933.9,5000,TRSUB-TRANSMISSION MAIN,0,406.0391175,0,275000,18,0,(Catastrophic) - Flow Failure,130146,Polyline,1858,0.4379863577,(Low),577.600502,Fail (Flow),5 (Catastrophic) - Flow Failure,5,6573552,282500,Zone 4,0,10,4, ,1944,0.0447,GTAA,(Low), ,(Catastrophic) - Flow Failure,1,0,0,62,0,CPP,1863,0.084,0,284.22738225,0.0763473239,2.19142853729742E-13,0,812.078235,1867,4,Yes,  PWL,5,1182,34380.89844,0.0333752697,2 (Low),24,0,25.6,C,01-12-1998,CPP, ,614.400024,0,48,0,0,1,1576,No,0.060339014,2,6574109,812.078235,01-12-1998,2,15,0,614.4000244,0,1867,0,1998,234.477733,PEARSON INT. AIRPORT,18,MISSISSAUGA, ,5 (Catastrophic) - Flow Failure, ,5,0,I,M48 614.400024413999
10000000,n/a - flow failure,YES,0,T63,2223,1430000,0,4, ,0, ,YES,0,15,0,600.1000366,NO,Moderate,985,0,0,107,625000,862.253889,0,0,127.5,1200, ,0,0,360,0,2012_COMP_Linear,14500000000000,0.0006681798,ARTERIAL,0,CPP, ,2250000,82934.3,375000, ,15,460.999874,0,1250000,4,0,(Catastrophic) - Flow Failure,310411,Polyline,4055,0.3651909533,(Negligible),921.999748,Fail (Flow),5 (Catastrophic) - Flow Failure,5, ,2250000,Zone 3,0,15,3, , ,0, ,(Negligible), ,(Catastrophic) - Flow Failure,1,0,0,145,0,CPP,4269,0,0,322.6999118,0.1572668543,7.42422051707167E-16,0,921.999748,4360,0,Yes, ,15,1218,82001.89844,0.0242003516,2 (Low),34,0,17.65,CL,1/0/1900 0:00,CPP, ,600.100037,0,10000000,0,0,1,2146,Yes,0.1160520925,1, ,921.999748,1/0/1900 0:00,1,15,0,600.1000366,0,4360,0,2012,921.999748,E DANBRO,4,MISSISSAUGA,CRES,5 (Catastrophic) - Flow Failure, ,5,0,I,T63 600.100036620999
0.1,38,NO,0,J05,3185,2255000,1,8, ,0,A,YES,510331,15,15,1064,NO,Extreme,2483,0,0,13,625000,15.731667,0,0,175,500, ,1,0,360,6,TRSUB-TRANSMISSION MAIN,4548.169922,0.0893736179,LOCAL,1,CPP, ,2250000,7691,375000,TRSUB-TRANSMISSION MAIN,0,601.9861055,0,1250000,59,0,(Catastrophic) - Flow Failure,5663.399902,Polyline,1967,1.2389544544,(Negligible),481.555484,Fail (Pressure),2 (Low),5,596295,0,Zone 4,0,0,4, ,1957,2.2202,R,(Negligible), ,(Catastrophic) - Flow Failure,1,0,15,33,1,CPP,1976,3.9546,0,421.39027385,0.0274092705,9.93040199360956E-14,0,1203.972211,1980,5,Yes,  PWL,10,67,1496.109985,0.0311311937,1 (Negligible),35,1,30.4,C,01-01-1957,CPP, ,1064,15,0.1,0,0,1,826,No,0.0107975914,1,596294,1203.972211,01-01-1957,1,15,0,1064,2250000,1980,1,1957,54.999911,GOREWAY,59,MISSISSAUGA,DR,2 (Low), ,5,0,I,J05 1064
0,38.4,NO,0,T55,27872,1430000,0,3, ,0,A,YES,718233,10,0,405.8999939,NO,Low,3856,0,0,92,175000,11.4775,0,455000,82.5,300, ,0,0,360,0,ISDISTRIBUTION MAIN - SMALL DIAMETE,0,0.0721141622,ARTERIAL,0,PVC, ,455000,0,5000,ISDISTRIBUTION MAIN - SMALL DIAMETE,0,32.087285,0,275000,9,0,(Negligible),4131.899902,Polyline,3683,0.0465827365,(Negligible),64.17457,Fail (Pressure),2 (Low),1,600096,0,Zone 6,0,15,6, ,2007,1.9876,R,(Negligible), ,(Negligible),0.1,0,0,178,0,PVC,3693,1.4612,0,22.4610995,2.7736843426,8.01268469006222E-14,0,64.17457,3715,3,Yes,  PWL,5,1432,1091.530029,0.0366451703,1 (Negligible),22,0,18.450001,Other,1/0/1900 0:00,PVC, ,405.899994,0,0,0,0,1,1171,No,1.4335896602,1,6557964,64.17457,1/0/1900 0:00,1,15,0,405.8999939,0,3715,0,2007,64.17457,CHINGUACOUSY RD,1,BRAMPTON, ,2 (Low), ,1,7,Other,T55 405.899993896
0.2,n/a - flow failure,NO,0,T39,1906,1627500,0,5, ,0,A,YES,508475,15,0,648.75,NO,Moderate,2779,0,0,4,175000,12.879444,0,0,100,450, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,6357.02002,0.0878653768,LOCAL,0,PHOE, ,455000,4167.4,5000,TRSUB-TRANSMISSION MAIN,0,338.2714815,0,275000,40,0,(Catastrophic) - Flow Failure,4636.600098,Polyline,3287,0.6962003857,(Negligible),398.847272,Fail (Flow),5 (Catastrophic) - Flow Failure,5,N 598847,455000,Zone 6,0,10,6, ,1976,0.6394,R,(Negligible), ,(Catastrophic) - Flow Failure,0.4,0,0,11,0,PHOE/STEEL,3267,1.7315,0,236.79003705,0.01625913,9.76281964799761E-14,0,676.542963,3279,4,Yes,  PWL,10,1406,1224.859985,0.0321616143,1 (Negligible),25,0,25.950001,CL,01-01-1976,HDPE, ,648.75,0,0.2,0,0,1,826,No,0.0059124109,1,598468,676.542963,01-01-1976,1,5,0,648.75,0,3279,0,1976,54.121984,BRAMALEA,16,BRAMPTON,RD,5 (Catastrophic) - Flow Failure, ,5,0,I,T39 648.75
0,38.1,NO,0,L12,31463,455000,0,3, ,0,A,YES,774349,15,0,434.7000122,NO,Low,3337,0,0,108,175000,16.445556,0,455000,86.25,400, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,0,0.1906740138,COLLECTOR,0,CPP3, ,455000,0,5000,TRSUB-TRANSMISSION MAIN,0,392.545101,0,275000,16,0,(Low),5920.399902,Polyline,1622,0.4234306293,(Negligible),399.051213,Fail (Pressure),2 (Low),2,16566570,0,Zone 6,0,10,6, ,2000,6.4732,R,(Negligible), ,(Low),1,0,0,121,0,CPP,1629,5.7678,0,274.7815707,0.1541224176,2.11860015311874E-13,0,785.090202,1631,4,Yes,  PWL,5,386,1564,0.0333752697,1 (Negligible),23,0,18.9,CL,01-01-2000,CPP,W,434.700012,0,0,0,0,1,1576,No,0.1375638108,1,6404788,785.090202,01-01-2000,1,15,0,434.7000122,0,1631,0,2000,377.356909,BOVAIRD,16,BRAMPTON,DR,2 (Low), ,2,5,I,L12 434.700012206999
0,38.4,NO,0,J04,8198,905000,0,4, ,0,A,YES,516132,15,0,522,NO,Moderate,147,0,0,1,2500,15.819167,0,0,80,400, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,0,0.0869073422,LOCAL,0,CPP3, ,282500,0,5000,TRSUB-TRANSMISSION MAIN,0,178.9182005,0,275000,29,0,(Low),5694.899902,Polyline,693,0.1929955208,(Negligible),357.836401,Fail (Pressure),2 (Low),2,1600575,282500,Zone 4,0,0,4, ,1987,3.4976,R,(Negligible), ,(Low),1,0,0,95,0,CPP,693,2.9056,0,125.24274035,0.2654844497,9.65637135731392E-14,0,357.836401,695,4,Yes,  PWL,5,998,1504.430054,0.0333752697,1 (Negligible),20,0,26.1,CL,01-01-1987,CPP, ,522,0,0,0,0,1,1576,No,0.0027945732,1,600576,357.836401,01-01-1987,1,0,0,522,0,695,0,1987,357.836401,WORLD,29,MISSISSAUGA,DR,2 (Low), ,2,5,I,J04 522
0,37.8,NO,0,K39,5135,905000,0,5, ,0,A,YES,512713,15,15,626.5999756,NO,Moderate,49,0,0,24,175000,26.554444,0,0,104,400, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,0,0.2575952201,LOCAL,0,CPP, ,455000,0,5000,TRSUB-TRANSMISSION MAIN,0,530.317371,0,275000,27,0,(Severe),9559.599609,Polyline,544,0.5720428494,(Negligible),76.553706,Fail (Pressure),2 (Low),4,596082,455000,Zone 3,0,10,3, ,1989,0.4123,R,(Negligible), ,(Severe),1,0,15,68,0,CPP,545,1.3931,0,371.2221597,0.064112552,2.86216911264453E-13,0,1060.634742,546,4,Yes,  PWL,5,713,2525.379883,0.0333752697,1 (Negligible),26,0,24.1,CL,01-04-1989,CPP, ,626.599976,0,0,0,0,1,1576,No,0.0226279595,1,596067,1060.634742,01-04-1989,1,15,0,626.5999756,0,546,1,1989,147.28175,RATHKEALE,27,MISSISSAUGA,RD,4 (Severe), ,4,1,I,K39 626.599975586
0,36.8,NO,0,R50,12244,455000,0,4, ,0,A,YES,521880,15,15,548.0999756,NO,Moderate,626,0,0,68,2500,24.898889,0,0,84,600, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,0,0.0225987007,LOCAL,0,CPP, ,282500,0,5000,TRSUB-TRANSMISSION MAIN,15,400.2283825,0,275000,36,0,(Severe),8963.599609,Polyline,2390,0.3192812061,(Negligible),61.260761,Fail (Pressure),2 (Low),4,606853,282500,Zone 3,0,5,3, ,1980,1.7001,R,(Negligible), ,(Severe),1,0,15,142,0,CPP,2397,4.0927,0,280.15986775,0.1773987131,2.5109667496606E-14,0,800.456765,2401,6,Yes,  PWL,10,923,2367.929932,0.0294614908,1 (Negligible),21,0,26.1,CL,01-01-1980,CPP, ,548.099976,0,0,0,0,1,2131,No,0.0849514964,1,606920,800.456765,01-01-1980,1,15,0,548.0999756,0,2401,1,1980,5.54993,WOLFEDALE,36,MISSISSAUGA,RD,4 (Severe), ,4,1,I,R50 548.099975586
