condition_model,PCSDesc,criticality_model,CRITICAL_SCR
0,0.25,0,0.6225
0,0.25,0,0.4332000122
0,0.25,0,0.4332000122
0,0.25,0,0.5092499695
0,0.25,0,0.72
0,0.25,0,0.72
0,0.25,0,0.72
0,0.25,0,0.4785499878
0,0.25,0,0.92
0,0.25,0,0.8293999634
0,0.25,0,0.92
0,0.25,0,0.7337000732
0,0.05,0,0.7509500732000001
0,0.25,0,0.6348000488
0,0.25,0,0.5319000244000001
0,0.25,0,0.5319000244000001
0,0.25,0,0.5319000244000001
0,0.25,0,0.5319000244000001
0,0.25,0,0.586
0,0.25,0,0.72
0,0.25,0,0.92
0,0.25,0,0.5092499695
0,0.25,0,0.4724999695
0,0.15,0,0.475
0,0.15,0,0.475
0,0.25,0,0.495
0,0.05,0,0.4960999756
0,0.05,0,0.4960999756
0,0.05,0,0.4960999756
0,0.25,0,0.40634997559999997
0,0.25,0,0.40634997559999997
0,0.25,0,0.541
0,0.25,0,0.541
0,0.25,0,0.541
0,0.25,0,0.541
0,0.25,0,0.7776999512
0,0.25,0,0.7776999512
0,0.25,0,0.894000061
0,0.25,0,0.894000061
0,0.25,0,0.894000061
0,0.25,0,0.46075003049999996
0,0.25,0,0.541
0,0.25,0,0.541
0,0.25,0,0.469
0,0.25,0,0.4938999939
0,0.25,0,0.469
0,0.25,0,0.469
0,0.25,0,0.469
0,0.15,0,0.5853499756
0,0.15,0,0.6265999756
0,0.15,0,0.6265999756
0,0.15,0,0.6265999756
0,0.15,0,0.5267000122
0,0.15,0,0.5267000122
0,0.15,0,0.5267000122
0,0.15,0,0.5267000122
0,0.15,0,0.5267000122
0,0.15,0,0.5267000122
0,0.05,0,0.7275
0,0.25,0,0.46075003049999996
0,0.25,0,0.46075003049999996
0,0.25,0,0.5480999756
0,0.25,0,0.5480999756
0,0.15,0,0.6108000488
0,0.15,0,0.4913999634
0,0.15,0,0.4913999634
0,0.15,0,0.6616999512
0,0.15,0,0.6616999512
0,0.25,0,0.485
0,0.25,0,0.485
0,0.25,0,0.5092499695
0,0.25,0,0.5092499695
0,0.25,0,0.55775
0,0.25,0,0.8386000365999999
0,0.25,0,0.8386000365999999
0,0.25,0,0.8386000365999999
0,0.25,0,0.8386000365999999
0,0.25,0,0.8386000365999999
0,0.25,0,0.55775
0,0.25,0,0.55775
0,0.25,0,0.55775
0,0.25,0,0.55775
0,0.05,0,0.6902000121999999
