FID,MITIGATION_Level_PAN,mitigation_model_pred
740,1,2.0
2385,2,1.0
979,1,1.0
576,1,3.0
2960,3,2.0
816,3,2.0
3745,1,1.0
1353,2,1.0
3652,1,2.0
2935,1,2.0
2404,2,1.0
56,3,2.0
2818,2,2.0
1786,1,2.0
2305,2,3.0
1270,2,2.0
1013,3,1.0
4007,3,2.0
624,1,3.0
3747,2,3.0
889,2,1.0
2476,3,2.0
107,3,1.0
3426,2,2.0
474,1,1.0
224,3,1.0
3985,2,3.0
514,1,1.0
1320,1,2.0
1673,3,3.0
1682,1,3.0
2600,1,3.0
12,3,2.0
2479,3,1.0
968,3,2.0
2694,3,2.0
1994,2,2.0
2736,1,2.0
3037,3,1.0
4083,2,3.0
2962,1,2.0
906,2,1.0
321,1,1.0
1359,2,2.0
2049,1,1.0
2778,1,1.0
405,1,1.0
322,3,1.0
3503,1,3.0
1176,2,2.0
934,3,2.0
855,1,2.0
1923,1,3.0
2511,2,2.0
2107,3,1.0
1212,2,2.0
3932,2,1.0
3584,2,2.0
109,2,1.0
1687,1,3.0
1627,3,3.0
1720,3,1.0
733,2,3.0
796,2,3.0
3165,1,1.0
4060,2,3.0
3573,2,3.0
2576,3,3.0
2089,2,3.0
2749,3,2.0
2876,2,1.0
2391,1,1.0
3586,1,2.0
2612,1,1.0
2905,2,1.0
3112,1,1.0
3670,1,3.0
1774,2,3.0
297,3,1.0
2155,3,2.0
1579,2,3.0
1390,2,3.0
246,1,2.0
3871,2,3.0
2407,1,3.0
3121,1,2.0
1656,1,1.0
738,3,2.0
180,3,2.0
3771,2,3.0
1562,3,2.0
3490,2,3.0
3761,2,3.0
235,1,1.0
1948,1,3.0
3352,2,3.0
2531,2,3.0
1959,1,1.0
3264,3,1.0
1880,3,2.0
2082,2,1.0
2541,2,3.0
3601,3,2.0
3977,2,3.0
1986,2,3.0
1884,3,2.0
3597,1,3.0
37,3,3.0
590,3,2.0
258,1,1.0
265,1,2.0
931,2,1.0
2308,2,1.0
2220,3,1.0
2064,3,2.0
2208,1,3.0
470,2,2.0
50,1,2.0
1878,2,1.0
1367,1,2.0
1901,2,3.0
3956,2,1.0
3766,1,1.0
1163,3,1.0
1575,3,1.0
1111,1,1.0
798,3,2.0
2142,3,2.0
382,1,1.0
1909,1,1.0
2726,1,2.0
2354,1,3.0
281,2,1.0
3904,1,1.0
3017,3,1.0
4016,1,3.0
3057,1,1.0
2996,2,2.0
1060,3,3.0
1386,3,2.0
2158,1,2.0
1116,2,1.0
4096,3,2.0
708,3,2.0
2747,3,2.0
3668,2,3.0
3546,3,1.0
3053,2,1.0
4048,1,3.0
1168,3,1.0
18,1,2.0
904,1,1.0
667,1,3.0
2001,2,3.0
2243,3,2.0
782,3,3.0
1268,2,2.0
4013,1,1.0
2527,2,2.0
2247,3,3.0
2338,2,2.0
1505,1,2.0
1238,3,2.0
3293,3,1.0
2950,3,2.0
3375,1,1.0
1960,2,3.0
936,1,2.0
400,2,3.0
2356,2,3.0
1049,2,2.0
3111,3,1.0
1940,2,1.0
4046,2,1.0
517,1,3.0
3543,2,3.0
2953,2,2.0
1713,1,1.0
3136,2,1.0
3473,3,3.0
2451,3,3.0
1245,2,2.0
76,1,3.0
2446,3,2.0
2093,2,2.0
2763,1,3.0
1103,2,1.0
3447,1,3.0
2399,2,1.0
2969,3,1.0
394,1,1.0
2414,2,3.0
1882,1,2.0
1653,3,2.0
2000,3,3.0
1710,1,2.0
3173,3,3.0
298,1,2.0
3153,1,2.0
349,2,3.0
647,2,2.0
2017,1,1.0
840,2,2.0
1174,3,1.0
3635,3,3.0
1087,1,1.0
751,1,3.0
199,1,2.0
292,3,1.0
1582,3,3.0
2392,2,1.0
2474,2,3.0
3822,2,1.0
461,2,1.0
3587,1,2.0
406,3,3.0
814,1,3.0
3431,3,3.0
3329,2,3.0
791,1,3.0
3446,3,2.0
1869,1,2.0
2529,2,3.0
1153,2,1.0
1762,1,1.0
2489,3,2.0
2722,3,2.0
2066,2,3.0
2027,2,1.0
2513,1,2.0
3163,1,3.0
2190,1,1.0
110,1,1.0
653,1,2.0
2098,3,2.0
3723,1,1.0
3998,1,2.0
2103,2,3.0
3709,3,2.0
350,1,3.0
222,1,1.0
492,2,1.0
106,1,1.0
1075,1,3.0
2963,1,2.0
1903,3,2.0
1600,3,1.0
691,1,3.0
802,3,3.0
3730,2,3.0
3015,2,1.0
766,1,3.0
2470,3,2.0
1584,2,2.0
3960,2,1.0
1090,3,3.0
4067,2,3.0
2393,1,1.0
2076,2,2.0
411,3,1.0
1597,2,2.0
2002,3,3.0
330,2,1.0
3378,1,3.0
3299,3,3.0
2847,3,3.0
1586,3,1.0
3110,3,1.0
304,1,1.0
614,3,2.0
2870,3,1.0
4100,3,1.0
370,2,3.0
2645,2,2.0
1888,2,1.0
2589,1,3.0
1220,3,2.0
1933,3,1.0
2275,3,3.0
591,3,2.0
1203,1,2.0
3050,2,2.0
3651,2,3.0
1368,1,2.0
3792,2,1.0
2873,2,3.0
1124,1,1.0
3521,1,1.0
1374,2,3.0
2376,1,2.0
1372,3,2.0
3437,1,3.0
3290,3,3.0
44,3,1.0
1009,1,2.0
2153,2,1.0
2341,1,3.0
3789,3,1.0
652,2,2.0
2620,1,2.0
1420,1,3.0
2986,2,3.0
3881,2,1.0
3905,3,1.0
1757,3,1.0
1732,3,2.0
1837,1,1.0
55,2,3.0
869,3,2.0
719,3,1.0
3673,1,1.0
1380,1,1.0
1458,2,1.0
2343,3,1.0
3391,3,2.0
3177,3,1.0
1589,3,2.0
346,3,3.0
2237,3,1.0
2015,1,3.0
1818,3,2.0
2734,3,3.0
1643,2,2.0
883,3,1.0
786,2,2.0
1051,1,3.0
3843,2,1.0
1836,2,2.0
2480,3,1.0
712,1,2.0
2888,1,3.0
2248,1,1.0
764,1,3.0
2121,2,1.0
234,1,1.0
2065,1,2.0
1810,2,1.0
1089,2,1.0
723,1,2.0
2215,2,1.0
3312,1,2.0
897,2,2.0
2145,3,1.0
1177,1,2.0
3254,2,1.0
2548,1,3.0
3485,1,3.0
3444,2,3.0
2546,3,3.0
3721,1,3.0
5,1,1.0
67,2,2.0
1817,3,2.0
1345,2,2.0
1958,2,1.0
3717,3,3.0
3466,3,3.0
2439,3,2.0
422,3,1.0
2333,2,1.0
3886,1,3.0
724,1,3.0
2483,1,2.0
364,2,1.0
1008,2,2.0
1524,2,2.0
3682,2,1.0
232,1,3.0
3756,1,3.0
380,1,1.0
3271,3,1.0
2266,1,1.0
1578,3,1.0
3583,2,3.0
296,3,1.0
3338,2,1.0
1920,1,3.0
2520,2,3.0
1148,2,1.0
4095,3,3.0
1822,1,1.0
2564,2,3.0
291,3,3.0
752,2,2.0
4061,3,3.0
1383,2,1.0
3298,3,3.0
