FID,MITIGATION_Level_PAN,mitigation_model_pred
527,3.0,3.0
2349,1.0,1.0
4000,2.0,1.0
2124,1.0,1.0
2025,1.0,1.0
88,1.0,1.0
2024,2.0,2.0
690,3.0,3.0
1482,2.0,2.0
1450,2.0,2.0
1765,2.0,2.0
3421,2.0,2.0
400,1.0,1.0
1161,2.0,2.0
1603,2.0,2.0
1196,2.0,2.0
3861,2.0,2.0
125,1.0,1.0
1932,1.0,2.0
4092,2.0,2.0
1600,2.0,2.0
3976,2.0,2.0
2270,1.0,1.0
2836,2.0,2.0
1173,1.0,1.0
1874,3.0,3.0
552,2.0,3.0
3816,2.0,2.0
3070,2.0,1.0
516,3.0,3.0
1594,2.0,2.0
1890,3.0,3.0
215,2.0,2.0
4090,2.0,2.0
1428,2.0,2.0
2308,1.0,1.0
3676,2.0,1.0
3219,2.0,2.0
2409,2.0,2.0
251,2.0,2.0
520,3.0,3.0
1852,3.0,3.0
1780,3.0,3.0
302,1.0,1.0
2401,2.0,2.0
2078,1.0,1.0
1146,2.0,2.0
3686,2.0,2.0
2648,2.0,2.0
3901,2.0,1.0
2513,1.0,1.0
3523,2.0,3.0
393,1.0,1.0
1100,3.0,2.0
712,3.0,3.0
3346,2.0,2.0
1538,1.0,1.0
1721,2.0,2.0
3302,1.0,1.0
1398,2.0,2.0
515,3.0,3.0
660,3.0,3.0
3632,2.0,2.0
2245,2.0,2.0
2571,2.0,2.0
2786,3.0,3.0
2105,1.0,1.0
2051,2.0,2.0
2444,2.0,2.0
622,3.0,3.0
1999,2.0,2.0
1208,2.0,2.0
2908,2.0,2.0
2500,2.0,2.0
3023,2.0,1.0
2386,2.0,2.0
467,1.0,1.0
3157,2.0,2.0
3840,2.0,3.0
1390,2.0,1.0
3648,2.0,2.0
4100,2.0,2.0
1453,2.0,2.0
1175,1.0,1.0
1747,2.0,2.0
354,1.0,1.0
476,1.0,1.0
722,3.0,3.0
3733,2.0,2.0
1559,2.0,2.0
2925,2.0,2.0
3075,2.0,2.0
797,2.0,3.0
3989,3.0,3.0
1795,3.0,3.0
1168,1.0,1.0
3753,1.0,2.0
635,3.0,3.0
1292,2.0,2.0
442,2.0,2.0
2418,1.0,1.0
2940,2.0,2.0
828,3.0,3.0
930,2.0,2.0
2922,2.0,2.0
3508,2.0,3.0
3586,3.0,3.0
3183,1.0,1.0
3908,2.0,1.0
830,3.0,3.0
2544,2.0,2.0
3343,2.0,2.0
2874,2.0,2.0
530,3.0,3.0
3536,2.0,2.0
3177,2.0,2.0
3902,2.0,1.0
3955,1.0,1.0
3547,3.0,3.0
1412,2.0,2.0
1153,2.0,2.0
405,2.0,2.0
1935,2.0,2.0
0,2.0,2.0
2837,2.0,2.0
995,2.0,1.0
3316,2.0,2.0
1736,3.0,3.0
3271,2.0,2.0
2230,2.0,2.0
1867,3.0,3.0
2275,2.0,2.0
825,3.0,3.0
4064,2.0,2.0
1470,2.0,2.0
2805,2.0,2.0
1084,3.0,2.0
831,3.0,3.0
