FID,MITIGATION_Level,mitigation_model_pred
1252,2,2.4222889875378684
489,1,2.3738384468401392
1396,2,3.260201655317154
2270,1,2.135512890285426
2269,2,1.6525122971609818
2533,2,1.1641398043162212
2571,2,2.2911822645898923
1787,2,2.5672380633087357
2987,1,3.229998790875861
1873,2,0.7751834913946567
802,2,
3587,2,
2952,2,
3456,3,
1915,3,
2814,1,
3016,1,
1011,2,
1702,3,
1664,3,
2182,2,
1292,2,
3568,2,
2513,1,
1079,3,
2574,2,
439,1,
3374,1,
1557,2,
3948,2,
3843,1,
2984,2,
3382,2,
4042,3,
2205,2,
1361,1,
2901,2,
960,2,
3754,2,
1687,3,
1517,2,
3165,1,
777,2,
1875,2,
122,1,
1916,2,
504,2,
2972,2,
1629,3,
561,2,
1540,1,
748,2,
3186,2,
2387,3,
2087,2,
1467,2,
1825,2,
2442,1,
2556,2,
3467,2,
2263,1,
2766,2,
2396,2,
1484,1,
1299,2,
2581,2,
2244,2,
312,2,
2674,2,
1265,2,
3103,2,
2425,2,
1213,3,
1514,2,
3682,2,
912,2,
362,1,
3654,3,
2228,2,
1327,2,
1937,3,
1169,1,
1832,3,
1627,3,
1072,3,
2385,2,
3425,2,
1195,2,
3548,2,
3888,2,
795,2,
2977,2,
1479,2,
394,1,
9,2,
1368,2,
568,2,
2945,2,
752,2,
3607,2,
1189,2,
1975,2,
242,2,
1050,2,
1580,2,
665,2,
367,1,
749,2,
1314,2,
289,2,
1719,3,
3861,2,
2747,2,
3394,1,
1855,3,
1397,2,
1697,3,
2534,2,
3940,1,
1763,2,
2257,2,
1518,2,
1293,2,
4033,2,
2543,2,
1429,2,
1962,3,
897,3,
2231,2,
3511,2,
1508,2,
1321,2,
836,2,
1811,3,
881,1,
453,2,
3899,2,
3851,2,
3829,2,
1491,2,
1817,3,
2734,2,
630,2,
1823,2,
3141,1,
835,2,
1778,3,
437,2,
2497,2,
1512,2,
186,2,
1343,2,
1124,3,
2698,2,
3748,2,
3816,2,
2056,1,
2869,2,
4073,3,
130,2,
1023,2,
1499,2,
3801,2,
2209,2,
1861,3,
2448,1,
329,1,
696,2,
3827,2,
2426,2,
2419,1,
1813,2,
3110,2,
2322,2,
2325,2,
2682,2,
3530,2,
1000,3,
3399,2,
3896,2,
716,2,
2816,2,
1114,3,
3792,2,
949,3,
75,2,
2999,2,
490,1,
1221,2,
2369,2,
1458,2,
4004,2,
1020,2,
2225,2,
2982,2,
175,2,
3910,1,
3875,1,
458,2,
183,1,
180,2,
2664,2,
3773,2,
838,2,
2108,1,
3741,2,
1412,2,
3017,1,
1154,2,
3519,2,
2312,1,
1356,1,
525,3,
270,1,
2690,3,
1662,2,
1675,3,
1399,2,
2631,2,
2011,2,
3327,2,
3845,1,
1143,1,
2352,2,
3324,1,
3718,3,
1730,3,
3681,2,
1421,2,
528,2,
3449,2,
976,3,
2900,2,
3264,2,
564,2,
812,2,
2942,2,
4071,2,
1574,2,
444,2,
108,1,
2315,1,
2096,1,
717,3,
1865,3,
145,1,
2328,2,
462,1,
734,3,
1078,3,
3610,2,
3042,2,
1714,3,
910,2,
271,1,
3925,1,
3195,2,
814,2,
31,3,
2283,1,
3105,2,
235,2,
684,1,
2804,2,
3653,2,
1364,2,
2783,2,
1159,2,
363,1,
1201,2,
708,3,
1284,3,
1877,2,
2572,2,
198,2,
4032,2,
2658,2,
438,2,
2016,2,
2157,2,
3409,2,
3584,2,
4068,2,
1403,2,
3982,3,
756,2,
2165,2,
942,2,
68,2,
3443,2,
3715,2,
1174,1,
1885,3,
465,1,
3261,1,
3795,2,
879,1,
3939,2,
3045,2,
2881,2,
606,2,
261,2,
1305,2,
318,1,
1761,2,
3206,2,
1468,2,
1600,3,
3367,2,
1513,2,
358,1,
810,2,
3223,2,
971,3,
3228,1,
885,2,
1673,2,
1451,2,
1438,2,
3022,2,
3111,2,
3619,2,
1037,2,
785,2,
320,2,
849,3,
1222,2,
3072,2,
1439,2,
2767,2,
611,2,
417,1,
3967,1,
2771,2,
3229,1,
4035,2,
2042,2,
3540,1,
3889,2,
551,2,
534,2,
2531,2,
40,3,
2549,2,
2653,2,
1643,3,
1887,3,
4084,2,
3066,2,
460,2,
1679,3,
79,1,
2492,2,
1414,2,
4039,1,
4016,2,
3282,2,
341,1,
922,2,
3397,1,
1704,3,
1032,2,
702,2,
4092,2,
3308,2,
2705,2,
472,2,
116,1,
233,1,
1871,3,
3965,1,
2630,2,
1186,2,
3214,2,
1137,1,
102,2,
623,2,
2233,1,
421,2,
1408,2,
872,3,
398,2,
1893,3,
590,2,
443,2,
3839,3,
2562,2,
1944,2,
2264,1,
3205,1,
347,1,
4001,1,
2121,2,
1227,2,
2386,2,
2846,2,
3219,2,
3193,2,
3288,1,
2153,1,
2360,2,
3049,2,
1270,2,
674,2,
107,1,
2382,1,
543,2,
602,3,
1744,3,
2140,1,
3731,2,
1907,2,
964,3,
2479,2,
3860,2,
1490,1,
3433,2,
1659,3,
1182,2,
103,1,
3994,2,
1716,3,
1135,1,
1395,2,
837,2,
2412,2,
300,1,
4083,2,
305,2,
3442,2,
3230,1,
2380,2,
1069,3,
1979,2,
256,2,
3259,1,
3601,2,
1237,2,
3461,2,
1843,3,
3857,2,
4049,2,
3208,1,
3536,1,
1998,3,
1754,2,
711,3,
570,2,
3265,2,
1742,3,
269,1,
2378,2,
1276,2,
